GENE_SYMBOL,ES740463,ES740496,ES740562,ES740637,ES740640,ES740691,ES740706,ES740712,ES740724,ES740772,ES740790,ES740871
TSHZ3,1745,1368,2130,1769,711,1390,1085,1620,1810,1279,449,3653
JSRP1,48,109,89,45,50,39,84,28,85,28,35,43
CEP72,398,510,375,494,434,411,608,244,544,471,755,467
SP8,1,0,0,0,0,0,0,0,0,0,0,0
DDX51,2480,2007,3220,2576,3605,2421,2499,2190,2967,3097,5573,3209
LOC253039,1326,2937,1011,825,2214,1127,2777,2588,1400,543,4017,3589
PLEKHJ1,5802,6463,6397,4877,4819,8438,7019,5180,7933,5420,4566,7795
STK38,22177,16219,21989,18392,19955,13928,19822,19855,21721,21021,21969,25545
EFR3A,12020,9339,12342,9366,11123,7521,9822,10116,12219,10188,7973,12289
FLJ13197,135,100,160,154,207,98,165,114,244,197,619,155
SGK2,8,7,19,13,21,9,15,9,20,12,24,10
DNASE1L3,218,206,391,143,247,404,268,386,532,388,88,276
DR1,12841,12155,11879,10250,11662,14540,14025,12080,16192,9325,8724,18366
ATP10B,1,0,5,4,3,0,1,0,0,0,1,2
TMCO4,2808,2591,2839,2735,2651,2845,3149,2163,3336,2519,3124,3324
OCM,10,19,23,20,32,41,18,10,18,30,125,39
SFMBT2,6802,3932,7159,5150,12546,5532,5420,6478,5210,8452,11160,6448
CLEC2A,0,0,0,0,1,0,0,0,0,0,0,0
C3orf25,33,25,46,61,86,36,51,39,53,66,125,39
CSN2,0,0,0,0,0,0,0,0,0,0,0,0
MIR1539,2,0,1,0,1,2,1,5,0,4,1,4
TTTY9B,0,0,0,0,0,0,0,0,0,0,0,0
OTUD6A,0,0,2,0,0,0,0,4,0,0,2,0
FAM27B,0,0,0,0,0,0,0,0,0,0,0,0
LOC283104,180,326,205,181,203,236,315,174,362,162,316,311
LRBA,11732,12316,11459,13523,19057,10149,15618,11045,11786,12438,16411,12189
MIR15B,1,0,0,3,2,0,0,0,0,0,0,1
GOLGA6D,0,0,0,1,0,0,0,0,0,0,0,0
STAR,16,29,23,24,25,17,18,20,17,15,24,23
