GENE_SYMBOL,ES740463,ES740496,ES740562,ES740637,ES740640,ES740691,ES740706,ES740712,ES740724,ES740772,ES740790,ES740871
BBX,10002,7949,10462,10129,18193,9773,12795,10376,11867,13251,17151,11027
CHD5,39,31,35,19,56,25,16,23,9,14,25,27
RAPGEF2,6350,2460,9318,6212,10686,3189,4705,8692,3574,7915,6625,4134
MIR3908,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD58,631,337,237,237,173,406,211,248,638,169,129,706
DTX3,1109,1405,1438,1584,2532,2256,2342,1036,1811,1297,2678,1787
GRHL1,46,77,66,59,98,72,53,43,147,86,47,100
LEPROTL1,10976,10867,10546,9809,17807,16359,17328,9020,15974,13778,21695,17056
SCG3,6,7,4,7,8,1,3,7,4,6,5,2
MIR3621,0,0,0,0,0,0,0,0,0,1,0,0
CXorf65,169,226,293,332,606,155,247,120,193,184,1042,222
PURB,8634,7086,10902,8939,11882,9499,8841,14240,10518,15202,8247,9721
MS4A2,16,5,70,4,58,112,15,12,70,26,15,34
BCKDK,6313,3016,6164,4558,3626,4525,3287,5676,7297,5078,1880,7952
MIR4513,8,16,14,25,17,10,17,12,4,17,26,16
MTERFD2,3583,4082,4820,5406,4638,5638,5550,3360,6370,3876,11216,5612
POLD1,2776,2488,3088,2332,2701,3070,2657,2474,3828,2849,3479,3941
MIR1286,0,0,0,1,2,0,0,0,0,0,1,1
MIR2113,0,0,0,0,0,0,0,0,0,0,0,0
C21orf129,0,0,0,0,0,0,0,1,0,0,1,0
MSI2,1792,2296,2059,2258,2860,2197,2851,1765,2547,2409,3286,2352
HBII-52-28,0,0,0,0,0,0,0,0,0,0,0,0
HDAC4,6320,3821,8258,6124,7985,4135,4517,7407,4572,8486,5757,5452
TCF3,8806,8389,10451,8055,9091,10819,9811,8839,13679,9937,12819,11964
BMS1P1,3,2,6,1,7,1,4,2,1,0,0,1
CCL14,0,0,0,0,0,1,0,0,0,0,0,2
COL9A2,940,261,1419,728,842,1221,576,1031,1192,1293,614,1150
SPIN1,5603,4818,5975,4978,5580,6482,5910,5332,7501,5530,5132,7031
ST3GAL3,1031,1484,901,797,1316,1032,1260,1108,1197,994,1500,1292
OR4K2,0,0,0,0,0,0,0,0,0,0,0,0
MIR1908,0,0,5,2,3,0,0,5,0,0,1,0
NBAS,6911,4513,6979,6639,6990,5012,7078,5667,5930,6644,8968,6623
HDX,394,122,401,307,163,298,145,271,427,252,149,396
FNDC4,7,0,33,8,66,7,17,20,0,21,44,3
SFT2D3,1773,1731,2711,2043,3262,2690,1879,2876,2527,3091,2412,2553
LOC653712,28,36,43,47,49,35,44,41,62,45,78,28
C22orf31,1,0,0,0,1,0,0,0,0,0,2,0
PHF13,1076,1192,1304,1304,1339,1686,1363,1190,1873,1228,1234,1660
TCF12,8688,7233,9187,7961,9067,7473,9576,8281,9429,9259,9361,9707
ZW10,1718,1302,1388,1156,825,1149,1539,1045,2050,1116,1005,2130
HNMT,4304,1073,3562,2484,1343,2373,1084,4037,4631,3690,617,5782
MLX,6419,3456,6085,3953,4239,4497,3924,5218,6715,4731,3671,7791
FOLH1,0,0,0,0,0,0,0,0,1,0,0,0
SEPT10,530,234,396,484,263,426,409,608,437,373,247,782
C6orf120,3472,2206,3075,2481,3295,2678,2507,2749,4212,2972,3408,4072
PCDHB10,0,2,0,2,1,1,3,0,1,0,0,1
UBXN2B,4953,4000,5017,3408,3798,4305,3561,4316,6333,4247,2445,5779
DDI2,1141,680,1057,935,816,877,820,787,875,864,823,1127
POLN,48,44,65,57,65,49,71,53,74,58,100,68
ABCA8,0,0,1,0,0,0,2,1,0,0,0,0
LAPTM5,232247,165808,261422,197977,211037,262374,224659,283356,286722,265433,173239,277420
MIR497,3,0,0,0,0,0,0,2,0,0,0,1
OR1G1,0,1,0,0,1,0,0,0,0,0,0,1
RPL15,56249,61106,58881,52393,55430,90112,72632,60439,104932,60697,66854,80372
WDR37,6142,5887,6956,6194,8491,6495,6771,4354,7353,4949,6695,7071
CPSF3,3582,2408,3397,2349,2303,3016,2538,3229,4187,2885,2663,4099
LOC100631378,0,0,0,0,4,0,0,0,0,0,7,2
MIR4285,1,0,1,2,1,0,0,2,1,1,2,0
UBA3,7900,4999,6595,5508,4928,5598,4975,6011,9390,5437,5495,10433
SRRM3,0,1,0,1,2,2,0,4,0,1,1,1
KIF27,195,111,289,249,234,118,170,193,179,157,418,219
TTC8,170,125,234,115,152,186,168,248,234,208,128,199
STAU2,2875,2383,2704,2432,2889,2856,3462,2665,3463,2559,2556,3352
SPTAN1,27621,24656,28823,32807,44342,22513,39081,24008,28739,34422,42203,34645
TESK1,3975,4418,4393,3934,3630,4565,4592,3502,5033,3610,2992,5269
STRBP,2506,2680,2298,2040,2656,3013,3186,2622,4581,2581,4474,3040
S100A8,83266,63301,81994,57827,42921,81455,54772,109685,104669,81867,26527,130004
MIR20B,0,0,0,0,1,0,0,0,0,0,0,0
RPF1,4162,3905,4348,3467,5303,5689,4591,3840,5397,3447,5996,5304
NPSR1,0,0,0,0,0,0,0,0,0,2,0,1
SLC35G6,6,0,17,14,12,2,3,6,4,6,10,2
DSCR3,8331,7020,8086,6669,6872,8239,7475,8034,10219,7826,5861,10853
ZPLD1,6,0,2,1,4,9,0,8,3,3,2,1
RRP7B,248,276,422,396,402,285,413,270,585,245,1598,419
LOC654342,38,21,33,10,10,41,17,24,22,40,8,25
SPHKAP,0,0,0,0,0,0,0,0,0,0,0,0
ZNF250,757,550,853,709,1701,557,918,844,604,987,1427,747
LAMA3,11,11,3,3,8,10,2,8,3,6,14,2
MIR383,0,0,0,0,0,0,0,0,0,0,0,0
CLCN5,1424,320,2203,1386,1139,909,517,2121,1297,1753,522,1284
LOC100130452,0,0,0,0,1,0,0,1,0,0,1,0
MRPL30,3332,2664,3125,2278,2091,2991,3095,2973,4412,2640,2233,4226
KIAA1009,1192,949,1316,1177,836,902,1130,836,1563,883,1300,1506
LACE1,268,164,252,201,184,235,226,196,290,263,276,262
LIN37,792,726,785,585,658,677,729,468,829,436,702,975
FBN2,2608,527,3165,4557,4156,1272,931,1820,2213,3162,581,2043
MIR3921,0,0,0,0,0,0,0,0,0,0,0,0
DEFA1B,0,0,0,0,0,0,0,0,0,0,0,0
MIR520B,0,0,0,0,0,0,0,0,0,0,0,0
PRAMEF15,0,0,0,0,0,0,0,0,0,0,0,0
BHLHA15,79,26,100,24,26,25,13,34,177,37,23,78
HEPHL1,6,12,8,6,6,5,9,0,12,5,2,13
PLEKHF1,1508,3674,1441,1279,1508,2857,1990,1011,2280,887,808,3434
TMEM89,4,0,0,6,3,3,0,2,0,2,5,6
CRISPLD2,6314,2803,3828,2636,3950,4314,1225,8599,8223,4646,1157,12631
ASNSD1,4069,4624,4463,3287,5558,4403,4375,3525,5875,3268,5155,6133
OR2M3,0,0,0,0,0,0,0,0,0,0,0,0
ECSCR,2,3,2,10,2,5,6,1,3,3,6,2
RFWD3,3490,3335,3810,3018,4815,3134,4488,2556,4148,2864,4545,4759
PRSS48,0,0,0,1,0,0,0,0,0,0,0,1
C1orf210,2,2,2,0,1,0,0,2,3,4,1,2
SON,47439,34726,56942,53969,66243,43422,49111,55364,48314,66045,64946,54656
PSIMCT-1,551,483,513,423,347,545,583,377,733,453,548,690
ARRDC2,16153,10646,20348,15163,24486,19678,18177,16118,20560,17196,30896,21365
LOC642924,0,0,0,3,1,0,0,0,1,0,0,1
BEST4,43,78,38,42,79,65,51,30,44,25,98,80
ETFB,4402,4196,4056,3638,3459,5544,4061,4298,4929,4202,3405,5694
ZNF671,805,985,729,801,690,1065,1015,477,1496,525,1439,1770
RFX3,1214,603,1706,1648,1946,822,1662,1236,862,1219,3027,885
LOC100292680,4,6,8,8,12,1,2,8,8,8,10,8
CNTLN,1092,203,1295,1189,697,817,293,1023,825,1126,313,1199
PSME1,39818,34766,28652,28377,27347,40962,37869,28543,41431,28931,26099,44910
PFAS,1672,1137,1996,1343,1986,1354,1466,1579,1655,1741,2760,2168
VPS53,6735,3264,6731,6111,7321,5098,5929,5311,5906,6407,6565,6567
MIR3944,0,0,1,3,3,0,0,1,2,1,3,1
MIR130A,0,0,1,0,0,0,0,0,0,0,1,0
SIK2,4592,3034,5240,4480,3883,4139,4293,4282,4731,3830,3674,4788
ATL2,2284,1937,2865,2190,3381,1720,2148,2811,2334,2764,3313,2600
OR8B8,0,0,0,0,0,0,0,0,0,0,0,0
RBBP6,11430,7222,18628,14935,24989,12657,12087,21039,13133,22171,24396,12797
HS3ST1,90,60,60,57,55,28,58,74,127,74,116,131
XAF1,16594,5351,6602,6357,3606,5296,7633,4278,8713,6108,6065,18219
SNORD86,0,0,0,0,0,0,0,0,0,0,0,0
SCO2,528,116,362,306,327,181,191,379,406,291,203,643
HEATR7A,1374,769,1783,1391,1600,1374,1077,1270,1549,1499,2144,1876
KLHL26,1159,877,1393,1146,2511,1089,1740,1094,1104,1288,1681,1435
XRCC6,18591,17194,19003,15404,17945,20303,17912,17600,22393,18082,14989,22009
RPL23AP53,260,397,256,160,283,292,350,243,295,346,282,370
ARRB1,35464,12858,32634,25736,26915,35944,17248,28701,35043,26055,13992,32931
STXBP1,357,237,268,392,523,462,522,256,742,549,637,406
METTL7A,14424,5738,11964,7033,5800,8513,5713,11477,15496,8887,2689,13846
HIST4H4,64,64,83,102,102,116,97,60,49,75,166,54
MAN1C1,3264,2523,3795,3343,3387,3678,3788,3079,4268,5178,8655,4926
PLEKHA8P1,402,460,449,422,280,394,477,363,600,382,417,576
C12orf77,2,4,5,0,0,0,0,0,1,1,0,0
C11orf86,0,0,0,0,0,0,0,0,0,0,0,0
HRASLS,80,63,21,7,31,32,41,34,64,9,9,47
CMIP,18939,10797,20374,14998,17914,14237,14471,20490,17581,18077,9417,18073
ZBTB41,2260,1649,2426,2635,2430,1978,2553,1532,2272,1746,2965,2272
FOXD4,5,0,5,1,1,0,5,6,3,6,5,4
SLC24A6,4865,3020,5723,4001,4667,4058,3885,3971,5418,4843,8159,6355
MDP1,724,761,745,551,525,849,712,730,981,604,642,1024
PANX3,1,0,1,1,0,0,0,0,0,0,1,1
MFSD6L,34,16,25,33,26,8,16,46,19,23,20,26
PTHLH,0,0,0,1,1,1,2,2,2,5,1,1
FPGS,5199,5200,5220,4818,6292,7361,5582,5683,6362,4879,5978,7462
LOC389634,82,50,105,65,62,44,64,148,64,45,34,132
FAM13A,3917,1125,3089,5468,5993,1928,1457,2730,2139,4291,18943,3032
RHOQ,4931,1820,4649,3253,3768,3207,1891,4740,5400,4362,1671,5239
PARP15,1317,1236,1711,2012,2574,872,2195,1286,1242,1541,5873,1615
C5orf35,571,221,321,293,501,477,523,852,331,492,241,681
RFC4,835,995,846,598,670,745,1047,548,1287,600,922,980
AGA,3422,2727,1832,2460,2435,3354,3344,2426,3265,2857,2231,3869
ADIPOR2,9179,6491,8442,7783,8141,8057,7127,8493,9961,7823,5449,9924
CXCL11,65,8,9,15,9,15,14,9,24,8,3,134
STARD5,685,603,628,430,585,449,611,515,907,640,755,871
ODF3L2,0,0,1,0,1,0,0,0,0,0,1,1
SPG21,13308,8571,12760,10070,9090,13479,10179,12871,16876,11830,6640,16833
SDHAP1,352,377,639,442,332,309,592,270,460,365,909,736
IMMP1L,127,255,139,141,114,234,242,102,239,131,196,183
KIAA0141,9296,4594,10967,7802,8423,8865,6323,9618,11417,9553,7141,10330
ZNF280C,682,352,695,704,693,493,801,368,494,378,932,482
FKBP14,186,123,294,207,205,183,196,180,219,217,274,187
SLC39A13,2617,3042,2869,2458,3377,3860,3883,2265,3809,2859,4187,4196
SMYD2,2618,3133,2555,2724,2801,3183,3381,2374,3707,2385,3244,3580
CSDC2,6,1,5,3,7,3,1,3,2,6,5,0
GIMAP4,22047,21816,6125,10151,5600,8998,15642,6294,24456,6810,8393,27532
TMEM57,3795,2503,4654,2887,5836,2419,3786,4444,3281,4453,5273,3596
DOCK3,133,209,285,286,693,231,444,277,262,334,861,294
MIR3142,1,1,0,0,0,0,0,0,0,0,0,0
SNORD115-32,0,0,0,0,0,0,0,0,0,0,0,0
CACNG3,0,1,1,1,1,0,1,1,0,1,0,0
NACA,45847,46650,49104,46936,46931,66043,58252,49918,66969,51910,60686,57988
MIR4788,0,0,0,0,0,0,0,0,0,0,0,0
MAX,15695,18452,13614,10397,14770,13491,15158,13860,17684,12909,13520,18649
CNTNAP2,290,136,205,150,580,189,271,587,42,155,996,284
MIR3155,1,0,1,17,6,0,1,7,1,2,6,3
C21orf88,0,0,0,0,0,0,0,0,0,0,0,0
IRAK3,13766,2588,15290,9285,9436,10670,2544,13131,12611,9957,2615,16363
OBP2B,0,0,0,0,0,0,0,0,0,0,0,0
TNKS1BP1,1105,1060,1076,980,1693,1135,1290,1052,1145,1408,1588,1306
LSMD1,2362,2259,2289,1624,1750,2520,1955,2497,2645,2130,1203,3267
PITPNM2,3961,2764,3882,3394,6155,4320,3060,4679,4266,4946,10664,5036
GDF6,4,2,1,1,13,0,3,8,0,12,0,0
ABTB2,275,93,306,252,297,170,151,399,358,296,200,404
SNORD113-1,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1958,801,183,594,532,527,534,462,684,622,743,786,881
MTCH1,10328,7346,12589,8831,13173,10214,8035,11080,11242,11127,11460,11938
COL6A1,183,311,188,281,577,205,401,222,358,255,1117,232
ZSWIM1,378,183,453,391,511,490,215,425,722,446,609,700
SCRN3,1119,876,1061,874,813,1144,1000,876,1561,833,1039,1654
MIR1200,0,2,1,8,0,1,0,2,0,5,1,2
TMEM170A,1676,1449,2034,1633,2615,1637,2129,2114,1806,2152,1801,1781
SAMD14,345,896,59,89,261,136,92,300,184,121,49,353
NFATC2,5965,5981,6177,8064,8832,7198,9344,4397,6003,5674,6282,8162
INGX,13,11,14,15,14,15,15,6,5,12,12,10
UBA2,8482,9160,9181,8295,8280,12133,9457,8151,13295,8070,8893,12843
ADH5,3949,4403,3301,2597,2814,3902,3656,2890,5626,2862,2775,5925
TBCE,984,849,1099,912,629,1014,867,878,1276,803,989,1321
SLC15A2,376,225,555,434,367,216,257,439,672,483,837,412
MMP13,0,0,0,0,0,0,0,0,0,0,0,0
LOC154092,6,0,17,13,9,1,3,17,2,17,5,1
MIR541,0,0,0,0,0,0,0,0,0,0,0,0
DTYMK,1050,1426,1099,800,744,1397,1256,861,1563,1092,812,1633
C6orf48,12301,12977,14068,11462,14156,21794,17106,12991,16615,15008,23019,19401
WNT9B,2,0,0,0,0,0,0,0,0,0,0,4
ZSWIM2,0,0,5,3,7,3,0,5,2,8,1,5
LYZ,955382,262844,808003,638592,241537,304906,224885,495792,1126594,638296,235861,1064723
SNAR-A14,0,0,0,0,0,0,0,0,0,0,0,0
IQCG,535,643,588,512,495,605,784,381,895,468,493,705
FOXD4L3,0,0,0,0,0,0,0,0,0,0,0,0
ADAT1,2019,2520,2073,2230,2639,2319,2623,2008,2686,2077,2715,2771
CYP1A2,0,0,0,0,1,0,1,1,0,0,0,0
SOX12,676,805,931,787,1235,918,847,685,1269,811,1435,1052
FBL,15456,21346,16415,15102,16715,25960,26432,17271,21408,19080,22798,20434
CCNG1,10370,11447,10314,9608,11202,15191,14587,9473,16543,10909,15393,14463
PCDHA4,0,0,1,3,0,1,0,0,0,0,1,0
FAM90A14,0,0,0,0,0,0,0,0,0,0,0,0
HCAR3,9863,345,16555,9262,7630,3355,1218,26460,3519,19718,2926,5795
FBXO24,39,25,46,28,29,32,31,30,51,38,66,51
SETD7,7253,1900,9733,5666,8614,4556,4376,8612,5744,8678,5413,6365
MMP26,0,0,0,0,0,0,0,0,0,0,0,0
RGNEF,65,125,133,236,138,58,106,96,71,81,46,163
LEMD1,0,2,0,1,4,3,1,0,1,0,1,0
LOC613038,12,5,23,21,22,22,8,16,32,40,6,15
FLRT1,4,11,9,21,5,4,9,4,8,6,20,10
RHBG,2,0,2,2,0,7,0,1,3,4,1,1
FLT3,1735,776,3111,858,1430,3248,923,2662,1883,1683,440,3357
KPNA7,0,0,1,0,1,1,1,0,1,0,1,0
TMEM53,390,194,267,161,154,264,207,257,299,207,109,356
DCAF16,2872,2397,3873,3397,5254,3247,3800,2957,3422,3503,6520,3727
PSMF1,15315,11765,13483,12248,11996,14680,13389,15378,16307,14120,10202,17527
C1orf31,1117,979,951,810,551,891,847,789,1125,885,891,1806
MAP1LC3C,7,4,0,2,1,5,1,1,2,1,0,4
ZBTB4,19101,21265,16973,17699,21184,23032,25976,16275,23562,19863,19315,25631
ATRIP,1020,1417,1025,861,865,1044,1367,702,1590,874,1161,1723
UBR2,12253,5699,14890,15857,18348,7114,12385,12310,7917,11226,18720,8992
MUC15,0,0,0,0,0,0,0,0,0,0,0,0
DYNC1I1,18,20,15,5,26,7,3,15,8,6,4,24
RABGGTA,4276,2593,4672,3480,3761,3447,3338,3752,4389,3562,3746,4653
ATP6V0E2,4049,5812,3939,4021,4491,7603,6431,3413,6561,5024,7470,6323
PSG6,0,0,0,0,0,0,0,0,0,0,0,0
MSC,156,543,214,206,293,127,170,475,278,453,142,195
C16orf54,16937,10163,20917,13409,26061,12220,16145,28193,14769,34278,17378,16132
CBX2,91,46,111,44,84,124,62,89,109,132,65,82
FKBP15,17764,6160,18132,12880,8955,9396,8466,13631,15877,12897,7912,18146
LOC149950,0,1,0,1,1,0,0,0,0,3,0,0
C12orf5,2905,1483,2587,1707,2659,2345,2056,2496,2940,2512,1279,2959
OTUD4,7555,5767,7987,8146,10040,7015,7246,6554,7617,7008,8263,8072
CSF1R,79699,10213,56469,44981,39070,48849,20917,61297,54318,51908,7853,67680
LRRC45,1650,1784,1998,1774,1588,2110,2045,1315,2481,1572,1957,2560
MIR4649,1,0,4,5,2,0,1,0,3,4,14,1
LOC100506714,842,386,734,476,477,354,555,641,877,455,314,1340
GOPC,4540,4309,4669,4369,4421,4009,5306,3561,5854,4347,5803,6268
SCP2,12040,11850,10764,10420,9150,13034,12276,11398,13949,9752,6475,13277
ZFYVE9,307,527,423,433,1042,557,848,472,513,639,1285,475
TMEM181,3118,4953,3644,4193,4688,2465,4240,2457,3623,2827,3738,4040
CCNB1IP1,1917,2348,2317,1810,2523,2770,2896,2180,3003,1920,2851,2583
OR52E8,0,0,0,0,0,0,0,0,0,0,0,0
MIR2355,2,3,1,11,5,0,1,3,0,5,2,2
MIR1208,0,0,0,0,2,0,1,0,0,1,0,0
NCR2,0,1,3,1,4,6,1,2,3,0,0,2
LOC100287616,323,950,218,366,395,558,741,234,613,326,400,469
HNRNPR,15937,14419,16121,14168,15566,19048,16345,13621,21688,14128,13213,20605
MIR139,0,0,0,0,0,0,0,0,0,0,0,0
PCDHGA9,15,17,12,25,8,10,9,25,13,16,23,34
FLJ36644,50,25,54,19,30,34,18,66,45,39,11,47
LTBP1,1227,1103,304,324,934,455,306,1096,883,484,127,802
C1orf135,75,36,93,57,72,93,38,81,87,66,35,57
MIR4267,0,0,0,0,0,0,0,0,0,0,0,0
FADS2,2097,5905,11778,5542,5880,2903,1194,2615,2388,7821,646,2027
RPL39,1745,2703,1628,1675,1731,2893,3068,1984,2375,2076,2858,2288
CALY,51,39,24,28,60,25,77,9,54,33,86,43
C1orf94,0,0,0,0,0,0,0,0,0,0,0,0
MIR4708,0,0,0,0,0,0,0,0,0,0,0,0
MIR4443,0,0,0,0,0,0,0,0,0,0,0,0
PRICKLE4,188,152,206,148,158,191,112,117,225,102,96,266
LOC440173,3,4,0,0,2,0,0,3,0,0,0,0
DHH,1,0,11,5,6,3,2,4,0,6,17,2
NEK3,1063,352,644,695,344,717,411,1364,977,717,652,846
THAP2,545,616,731,419,596,484,523,1733,653,1783,540,763
RSPH3,766,406,775,665,379,548,588,742,563,652,301,1061
MIR676,0,0,0,1,0,0,0,0,0,1,2,0
INTS4L2,2,2,1,3,2,2,1,0,1,0,4,0
TMEM170B,12867,2945,22650,11719,12674,11539,3384,20982,11359,17521,3922,12186
LOC442454,3783,4244,3184,2980,2891,5675,4541,3402,4828,3523,3891,4560
C1QTNF4,13,13,59,43,55,52,38,51,44,38,104,22
ACYP2,669,537,613,460,450,853,662,706,889,696,412,884
KIAA1429,8542,6464,9098,8170,10306,7713,9294,7095,9393,7842,10869,10312
SMAD5,2491,3174,2999,2999,3706,3100,2557,2279,4071,1922,1165,2999
NLGN2,284,353,463,538,913,639,871,550,615,803,1433,544
NSFP1,0,0,0,0,0,0,0,0,0,0,1,0
GPR18,1479,614,1449,596,2287,944,1258,2259,1054,1714,3737,832
SF3B2,28149,26095,28963,25674,27205,33082,29524,24829,37715,26148,21707,35614
CD99L2,5530,4410,5936,4547,5265,6180,4983,6696,6376,5332,3150,6954
COMMD9,6409,3321,6570,3389,4335,4987,3818,6339,6617,5812,3060,6762
GALNTL1,1,2,0,2,0,0,0,1,3,2,2,0
TMEM191B,8,11,6,22,22,10,14,4,22,9,9,13
C2orf71,1,3,2,4,7,0,2,1,0,4,1,4
C9orf30-TMEFF1,425,647,388,293,612,618,641,394,696,383,424,557
NKX6-3,2,0,0,0,0,0,0,7,2,1,1,0
HES2,0,0,3,0,2,1,1,0,0,0,1,0
ZNF684,345,271,317,330,317,249,393,244,401,180,272,483
ODF3B,4243,872,3072,2469,2153,1732,1301,3792,2613,2761,1401,4653
FAM78A,13547,18321,11273,13159,10208,15801,13950,7745,20129,8132,9408,21923
KLK8,0,0,0,0,0,0,0,0,0,0,0,0
REC8,1511,1617,1472,1239,2219,1343,1464,1011,1431,1328,2454,1464
BCORL1,2366,1844,2384,2520,2156,1699,2370,1829,2159,1895,1515,2334
PDGFRL,6,4,3,2,0,4,1,1,4,0,0,5
KHDC1,33,68,35,26,41,69,58,21,46,40,29,30
CYSLTR1,3144,1254,1782,1806,1074,1937,1160,2054,3227,2080,1135,3136
MIR1260,0,0,0,0,0,0,0,0,0,0,0,0
SLC17A1,0,4,2,4,1,2,2,0,0,2,0,2
CNOT8,11669,11369,12112,11123,12122,14003,11654,10959,18974,9420,11618,19213
GLO1,6451,6921,5921,5007,5203,8186,7810,6491,9134,5125,5060,8813
LOC285375,0,0,0,0,0,0,0,0,1,0,0,0
NYNRIN,272,88,355,129,124,181,172,221,302,258,97,173
PIGM,741,803,893,559,476,641,825,580,937,606,490,1093
C14orf126,1293,1479,1187,983,911,1479,1817,1221,2075,1186,1140,1855
FAM63B,1246,938,1490,1897,1714,1148,1747,1169,1408,1311,2034,1313
DERL1,11603,10087,11552,9559,13099,10193,13495,11860,11761,10416,9398,11154
RNASE3,45,29,131,62,45,35,23,120,163,72,13,172
OR1E2,0,0,0,0,0,0,0,0,0,0,0,0
SLC7A6OS,925,932,787,670,683,870,880,583,1008,681,847,1252
CSRP3,0,0,0,0,2,0,0,0,0,0,0,0
RIPK4,32,19,95,42,130,13,69,35,22,146,262,21
MCTS1,2295,2180,2047,1893,1545,2249,2361,1805,3142,1908,2072,2981
OSBPL3,4075,3456,4648,4994,4999,3609,5189,3060,4424,3261,4333,4291
PTCH1,3717,4871,3624,4867,4871,3368,7431,3186,3529,3817,3924,4524
C21orf96,69,84,67,136,76,17,46,92,25,81,62,35
RBM20,26,4,13,6,339,43,33,5,11,8,37,10
LOC100506049,0,0,0,0,0,0,0,0,0,0,0,1
C5orf64,8,1,30,15,18,5,4,24,9,8,0,31
SMNDC1,4570,3317,4912,3870,4425,5064,4159,4598,5859,3948,4739,5622
EIF5A2,1141,1592,882,1092,1843,1201,1820,1097,1407,1102,971,1319
TMOD3,12191,9874,9798,8631,7586,10382,10098,9097,13964,9045,6427,13836
HOXB8,0,0,1,0,3,0,3,0,0,0,0,0
ARL17B,0,0,0,0,0,0,0,0,0,0,0,0
ARSB,5605,1993,5150,3804,3321,3994,2631,5169,5342,4686,1979,6190
ZNF407,3804,2544,4225,4527,5125,3627,4274,2880,4066,4229,5257,3928
UCKL1,2952,2297,2799,2355,3064,2947,2522,2719,3839,2602,4191,3547
NAPRT1,8422,2992,7724,4478,4670,7026,4870,8456,7135,4272,4573,10970
FLJ39739,10,0,18,19,29,14,2,12,0,10,0,39
LOC400685,174,169,152,195,205,174,324,121,221,172,225,230
CALCR,3,0,2,4,0,0,0,7,7,4,0,2
GOLGA6L10,1,0,0,1,3,0,0,1,0,4,1,0
BZW2,3739,2834,4035,2862,3055,3743,3138,3745,4892,3848,3705,4945
IGF2BP1,0,0,1,0,0,0,0,1,0,0,0,0
LYN,73106,13439,57072,36887,48045,54747,18879,69723,59880,62980,15087,55870
ZCCHC9,1243,1285,1119,804,828,988,1115,1129,1660,1064,880,1973
ATG5,4569,4250,4971,4222,4612,5518,5510,4428,6094,4345,4570,5583
CDO1,3,49,30,11,13,1,4,6,28,3,8,10
PDK3,5918,6646,6588,5851,9138,6835,6553,6519,8811,5825,5810,6553
C12orf32,2196,2725,2339,2167,2684,3123,2811,2291,3930,2352,2964,3481
HSPA6,1088,367,2013,635,498,598,404,1445,951,1156,373,1277
SPRNP1,1,0,0,1,0,1,1,0,1,0,0,1
FMR1-AS1,46,46,56,48,83,81,24,39,9,64,58,66
PDE4DIP,7225,3888,6530,8044,6604,5814,9144,5813,9910,6915,13621,8382
BPESC1,0,0,0,0,0,0,0,0,0,0,1,0
ITLN1,148,10,96,26,43,111,38,106,204,58,23,191
SLC23A3,37,22,40,35,105,6,35,40,8,49,95,25
KRT19P2,0,0,0,0,0,0,0,0,0,0,0,0
RALA,3444,3280,3334,2437,2776,3359,3608,2343,5058,2971,2912,5348
LCE3C,0,0,0,0,0,0,0,0,0,0,0,0
RAB3IP,1060,1435,1259,1196,1235,1409,1321,1010,1724,1475,1758,1707
PIP5K1C,9107,5648,10640,8875,9676,9574,7637,9477,9704,9932,6559,10819
EML6,240,146,270,224,221,112,129,179,423,198,220,256
PPBPL2,1,1,0,1,6,0,0,5,0,5,3,1
FGFRL1,2063,831,1306,1012,1628,1480,1578,1490,1233,1927,1370,1091
VWA5B1,3,7,2,1,11,9,1,1,4,4,14,6
GPR77,1080,238,804,421,535,365,276,573,824,668,130,1318
LOC100287216,64,24,84,49,64,55,50,56,109,87,158,99
CPE,10,6,4,6,4,31,3,31,4,25,11,17
SHE,20,34,52,37,34,28,25,70,46,62,15,20
GBGT1,2803,694,2426,1640,1460,1741,1053,2826,2281,2025,550,3408
CCL3L3,80,12,172,421,45,39,0,215,58,277,138,96
EFNA5,139,204,124,157,186,123,134,148,71,155,40,130
MCAT,848,560,1104,628,703,513,566,858,809,1296,360,900
PDZD11,830,939,700,516,518,701,969,485,927,537,445,997
RIN1,2928,771,2462,1497,1512,2150,1116,2750,2835,2556,973,3489
METTL6,856,821,730,615,452,764,842,646,1053,642,655,1193
C9orf68,83,107,86,111,62,45,92,54,96,46,229,144
FLJ46066,0,0,0,0,0,0,0,0,0,0,0,0
AHSP,1,21,2,3,17,3,2,1748,4,23,69,2
PLEKHA7,221,175,213,331,161,144,334,150,228,204,221,236
TDP1,2471,2930,2413,2233,2810,3056,3240,2226,3693,2572,3439,3432
ROCK1,17995,11304,21896,16129,22167,10143,13819,17896,14504,18303,17862,18355
ZDBF2,1016,695,1190,1084,2644,1150,1585,1141,1188,2488,3596,1118
MIR3160-2,0,0,0,0,0,0,0,0,0,0,0,0
LOC283585,0,0,0,0,0,0,0,0,0,0,0,0
LOC100506012,35,28,23,26,25,33,34,38,46,23,19,46
ATP5A1,32096,30629,36843,27826,28243,40216,29287,29871,47485,29890,25249,43400
GLTPD1,2198,2797,2423,1667,1547,2455,2239,1483,3428,1631,1457,3533
MAMDC2,15,7,20,9,24,24,15,41,48,30,32,25
CNBD1,0,1,0,0,0,0,0,0,0,0,0,0
NCF1,4244,1057,2984,2360,2596,1785,2201,3614,3787,2740,1323,5604
GCAT,104,76,114,53,54,66,111,109,80,130,151,95
RAD21L1,0,3,0,0,5,4,2,2,1,4,6,6
