	AT1	AT2	Ciliated	Mast	Monocytes	Myofibroblasts	NK	T-CD4	T-CD8-CytT
ACP5	1.3653846153846154	1.5925414364640884	1.9071428571428573	1.763157894736842	1.8061504667764965	1.6519174041297937	1.653870761356366	2.032347504621072	2.1945570353213664
ACTB	29.28846153846154	27.57458563535912	27.928571428571427	25.876430205949656	27.026908292147173	26.58407079646018	28.28150991682661	29.004621072088725	27.928199189345687
ACTG1	12.634615384615383	11.23756906077348	10.478571428571428	9.922196796338673	10.924217462932456	9.734513274336283	11.2936660268714	10.834103512014789	10.046323103647945
AGR2	2.0288461538461537	3.367403314917127	2.021428571428572	2.612128146453089	2.796814936847886	2.5162241887905603	2.710172744721689	2.745841035120148	2.486392588303416
AIF1	2.3653846153846154	2.3232044198895028	2.25	2.191075514874142	2.358045030203185	2.380530973451328	2.530390275111964	2.5559149722735675	2.696004632310365
ALDH2	2.4134615384615383	1.4765193370165746	1.707142857142857	1.3764302059496567	1.57001647446458	1.6047197640117994	1.5255918106206017	1.6543438077634012	1.6844238563983789
ALDOA	6.75	5.883977900552487	5.971428571428572	5.133867276887872	5.847336628226249	5.247787610619469	5.542866282789507	5.398336414048059	5.301100173711639
ALOX5AP	3.375	2.266574585635359	3.0785714285714287	2.251716247139588	2.590884129599121	2.4277286135693217	2.575175943698017	2.5526802218114604	2.823972206137811
ANAPC11	2.3653846153846154	1.7776243093922652	1.6928571428571428	1.4164759725400458	1.644700713893465	1.952802359882006	1.6807421625079977	1.7204251386321627	1.720903300521135
ANAPC16	1.5961538461538465	1.3805248618784531	1.3785714285714286	1.3192219679633868	1.3492586490939045	1.3067846607669618	1.336852207293666	1.2971349353049908	1.2912565141864505
ANP32B	1.6153846153846154	1.3446132596685083	1.25	1.1979405034324944	1.3399231191652938	1.336283185840708	1.354126679462572	1.359981515711645	1.3080486392588304
ANXA1	5.346153846153846	3.814917127071823	3.757142857142857	3.054919908466819	3.886875343218012	3.377581120943953	3.610684580934101	3.652957486136784	3.952518818760857
ANXA2	7.980769230769231	5.763812154696133	5.107142857142857	5.172768878718536	6.507962657880285	5.383480825958702	5.812539987204095	5.874306839186692	6.108859293572669
ANXA5	1.932692307692308	1.8204419889502763	1.7642857142857142	1.5	1.6990664470071388	1.575221238938053	1.7245681381957774	1.7171903881700554	1.8720324261725536
AP2S1	2.0865384615384617	1.761049723756906	1.6571428571428573	1.692219679633867	1.7589236683141132	1.8407079646017697	1.7005758157389634	1.8096118299445472	1.7678054429646786
APLP2	2.6826923076923075	1.7969613259668509	1.6428571428571428	1.562929061784897	1.6155958264689732	1.5958702064896757	1.6247600767754318	1.6335489833641406	1.6039374638100752
APOC1	15.125	9.299723756906078	8.65	11.40274599542334	10.659527732015375	10.702064896755164	10.800063979526552	9.866913123844732	10.957151129125652
APOE	10.509615384615383	8.342541436464089	16.485714285714284	11.196796338672767	10.236133992311917	12.563421828908554	10.683941138835571	9.34426987060998	11.026635784597568
APRT	2.6634615384615383	1.75207182320442	1.4071428571428573	1.5354691075514877	1.801208127402526	1.6843657817109146	1.6561100447856685	1.6081330868761552	1.6676317313259987
AREG	1.4903846153846154	1.3535911602209945	0.95	1.0526315789473684	1.041735310269083	1.480825958702065	1.13659628918746	1.4343807763401109	1.8054429646786327
ARF1	1.9134615384615383	1.4765193370165746	1.65	1.3272311212814645	1.4892915980230643	1.6932153392330382	1.5028790786948176	1.527264325323475	1.4470179502026637
ARHGDIB	3.230769230769231	3.3888121546961325	2.9642857142857144	2.938215102974828	3.227347611202636	3.5162241887905603	3.4075495841330774	3.4117375231053604	3.427330631152288
ARL6IP4	2.0961538461538463	1.7617403314917126	1.6428571428571428	1.6281464530892449	1.7913234486545857	1.8554572271386431	1.764555342290467	1.7296672828096118	1.813549507817024
ARPC1B	4.5673076923076925	4.2396408839779	3.6142857142857134	3.80091533180778	4.56507413509061	6.011799410029498	4.1394753678822775	4.454713493530499	4.370584829183556
ARPC2	4.548076923076923	4.100138121546961	3.907142857142857	3.77116704805492	4.111477210323998	3.9528023598820057	4.053103007037748	4.129390018484289	4.265199768384481
ARPC3	4.836538461538462	3.968232044198895	3.807142857142857	3.574370709382151	3.870950027457441	3.982300884955752	4.053422904670505	3.97181146025878	3.9606253618992473
ARPC5	1.6442307692307692	1.4116022099447514	1.5857142857142856	1.3581235697940504	1.4640307523338825	1.4837758112094397	1.4862444017914267	1.5166358595194085	1.4881297046902142
ASAH1	2.25	1.74792817679558	1.7857142857142858	1.605263157894737	1.7358594179022515	1.551622418879056	1.6980166346769034	1.7703327171903882	1.785755645628257
ATF4	1.6923076923076923	1.218232044198895	1.2142857142857142	0.9473684210526316	1.2652388797364085	1.0737463126843658	1.1532309660908509	1.138170055452865	1.078170237405906
ATP1B1	3.5384615384615383	1.4026243093922652	1.7714285714285714	1.1876430205949655	1.516749038989566	1.0353982300884956	1.6375559820857326	1.21996303142329	1.4904458598726114
ATP6V0B	2.0961538461538463	1.9060773480662985	1.8928571428571428	1.6018306636155606	1.939593629873696	1.9793510324483776	1.8400511836212408	1.8391866913123844	1.8060220034742327
ATP6V0E1	4.076923076923077	3.123618784530387	2.9	2.6819221967963385	2.984623833058759	2.9911504424778763	2.957773512476008	3.011552680221812	2.990735379270411
ATP6V1F	2.769230769230769	2.50828729281768	2.571428571428572	2.180778032036613	2.4382207578253707	2.24188790560472	2.425143953934741	2.461645101663586	2.5361899247249564
ATP6V1G1	2.3076923076923075	2.19267955801105	2.157142857142857	2.0160183066361554	2.1504667764964305	2.1769911504424777	2.1276391554702494	2.1437153419593344	2.0903300521134915
AURKAIP1	1.9423076923076923	1.4433701657458564	1.2	1.1247139588100687	1.3739703459637562	1.359882005899705	1.345489443378119	1.350739371534196	1.362478286045165
B2M	74.63461538461539	69.9274861878453	75.62142857142857	66.78489702517163	68.43822075782538	64.80530973451327	69.7552783109405	69.00600739371534	71.7486971627099
BCAP31	1.7692307692307692	1.283839779005525	1.15	1.0812356979405031	1.271279516749039	1.3008849557522124	1.234165067178503	1.1950092421441774	1.2918355529820498
BPIFB2	0.0	1.7396408839779005	3.4	1.2151029748283753	0.6732564524986271	0.0206489675516224	1.2191298784388995	1.2509242144177448	0.5390851187029531
BRI3	2.3846153846153846	2.511740331491713	2.257142857142857	2.080091533180778	2.500823723228995	3.079646017699115	2.1554702495201536	2.3391866913123844	2.429067747539085
BRK1	1.9230769230769231	1.816988950276243	1.8142857142857145	1.585812356979405	1.8160351455244368	1.781710914454277	1.8445297504798464	1.874768946395564	1.8187608569774167
BSG	1.6634615384615383	1.4150552486187846	1.2857142857142858	1.173913043478261	1.473366282262493	1.4424778761061947	1.3000639795265514	1.3650646950092422	1.3862188766647363
BTF3	6.721153846153846	5.997237569060774	5.114285714285714	5.065217391304348	5.732564524986271	5.728613569321534	5.870121561100448	5.753696857670979	5.723798494499132
BTG1	7.009615384615385	6.214088397790055	7.821428571428571	6.154462242562929	5.930807248764415	5.722713864306785	6.226167626359565	6.175600739371534	6.206716850028952
C15ORF48	2.125	1.566988950276243	1.25	1.6956521739130437	1.8967600219659528	1.4542772861356932	1.6708253358925145	1.3193160813308689	1.9907353792704112
C19ORF53	1.8557692307692308	1.6947513812154695	1.6	1.4164759725400458	1.657331136738056	1.5486725663716814	1.6142034548944335	1.6053604436229203	1.57498552403011
C1QA	9.14423076923077	7.072513812154696	6.264285714285714	6.7105263157894735	7.696320702910489	7.572271386430678	7.532629558541267	8.07162661737523	8.130862767805443
C1QB	10.23076923076923	6.821823204419889	7.2	6.696796338672769	7.193849533223504	6.855457227138643	7.35188739603327	7.709796672828096	7.397220613781124
C1QC	3.326923076923077	2.790745856353591	3.607142857142857	2.6327231121281462	2.829214717188358	2.938053097345133	2.8592450415866923	2.994916820702403	2.895193977996526
C4ORF3	2.355769230769231	1.7596685082872927	1.9428571428571428	1.497711670480549	1.5612300933552994	1.728613569321534	1.6826615483045426	1.5850277264325323	1.6988998262883612
C9ORF16	1.6153846153846154	1.5780386740331491	1.5142857142857142	1.454233409610984	1.6825919824272375	1.5634218289085546	1.5754958413307742	1.689463955637708	1.6595251881876083
CALM1	6.528846153846154	4.026243093922652	3.892857142857143	3.4233409610983982	3.9890170236133993	3.784660766961652	3.917786308381318	3.906654343807763	3.856977417486972
CALM2	6.961538461538462	4.214088397790055	4.15	3.6121281464530894	4.130697419000549	3.949852507374631	3.9731285988483687	4.066081330868761	3.9687319050376377
CALR	3.201923076923077	2.4378453038674035	2.3142857142857145	2.19908466819222	2.355299286106535	2.327433628318584	2.432821497120921	2.3479667282809613	2.45049218297626
CAP1	1.8173076923076923	1.4337016574585637	1.4642857142857142	1.242562929061785	1.343218012081274	1.3097345132743363	1.3918746001279592	1.350739371534196	1.4337000579038797
CAPG	2.3365384615384617	1.979972375690608	1.8785714285714288	1.9221967963386728	2.070840197693575	2.0117994100294987	1.99488163787588	2.083641404805915	2.2756224667052694
CCL18	4.211538461538462	3.020718232044199	6.007142857142857	3.101830663615561	5.161998901702361	7.519174041297935	3.8563659628918745	3.838724584103512	4.3445280833815865
CCL2	0.7596153846153846	1.7859116022099448	1.1571428571428573	1.3352402745995424	1.6683141131246568	0.9734513274336284	1.5495841330774152	1.5143253234750462	1.4603358425014477
CCL3	2.298076923076923	3.433701657458564	4.757142857142857	2.6052631578947367	3.901702361339923	3.094395280235988	3.572296865003199	3.4269870609981514	3.452229299363057
CCL3L3	0.6730769230769231	1.5656077348066295	1.8	1.4244851258581237	2.041735310269083	0.7817109144542773	1.6839411388355727	1.955637707948244	1.8297625940938045
CCL4	3.5096153846153846	3.305939226519337	3.45	2.831807780320366	3.7364085667215816	2.967551622418879	3.230966090850928	3.261552680221812	3.562246670526925
CCL4L2	1.25	1.7900552486187846	2.0	1.4233409610983982	2.612850082372323	1.008849557522124	1.9286628278950733	2.088724584103512	1.9855240301100168
CCL5	2.048076923076923	2.901243093922652	2.25	2.651029748283753	2.930807248764415	2.9085545722713864	2.777991042866282	2.9269870609981514	2.788650839606253
CCND1	1.5673076923076923	0.7382596685082873	0.3214285714285714	0.7299771167048055	0.8385502471169687	0.8289085545722714	0.7735124760076776	0.6441774491682071	0.6572090330052114
CCNI	3.25	3.161602209944751	3.185714285714285	2.821510297482837	3.1812191103789127	3.5250737463126844	3.0374280230326294	3.2125693160813307	3.0677475390851185
CCNL1	1.7884615384615383	1.4129834254143647	1.4785714285714286	1.308924485125858	1.399780340472268	1.4277286135693217	1.3678822776711452	1.4621072088724585	1.349160393746381
CCT6A	1.865384615384616	0.7776243093922652	0.5714285714285714	0.6189931350114416	0.8736957715540912	0.6548672566371682	0.8016634676903391	0.7407578558225508	0.650839606253619
CD37	1.6634615384615383	1.872237569060773	2.407142857142857	1.84324942791762	1.923119165293795	1.914454277286136	2.0591810620601407	2.098428835489833	2.1129125651418645
CD44	2.1826923076923075	1.966160220994475	2.392857142857143	1.908466819221968	1.933003844041736	1.536873156342183	1.904350607805502	2.010166358595194	1.9878401852924144
CD47	2.1923076923076925	1.1726519337016574	0.9785714285714284	0.994279176201373	1.1208127402526085	1.056047197640118	0.9996801023672424	1.061460258780037	1.0845396641574985
CD52	5.596153846153846	5.467541436464089	6.1	5.323798627002288	6.029654036243822	5.353982300884955	5.745361484325016	5.950092421441775	6.63346844238564
CD59	2.230769230769231	1.558011049723757	1.4714285714285715	1.4519450800915332	1.6073585941790225	1.271386430678466	1.393793985924504	1.3516635859519408	1.3989577301679212
CD63	11.740384615384617	9.052486187845304	7.607142857142857	8.040045766590389	8.481054365733113	8.964601769911505	8.150031989763276	8.478280961182994	8.481760277938623
CD68	2.9038461538461537	2.50828729281768	3.271428571428572	2.210526315789474	2.584294343767161	2.327433628318584	2.432181701855406	2.727356746765249	3.039953676896352
CD69	1.1923076923076923	1.1726519337016574	1.6785714285714286	1.2093821510297482	1.115321252059308	1.0265486725663715	1.2226487523992322	1.3382624768946396	1.2889403590040531
CD74	29.23076923076923	26.020027624309392	28.75	25.05720823798627	26.5777045579352	25.07079646017699	27.964811260396672	28.47735674676525	29.25593514765489
CD9	5.913461538461538	2.9240331491712706	3.7	2.2242562929061784	3.054365733113674	2.9852507374631267	2.5102367242482404	3.343345656192237	3.082223508975101
CD99	1.7692307692307692	1.6160220994475138	1.8071428571428567	1.3558352402745997	1.673256452498627	1.5132743362831858	1.536468330134357	1.6529574861367835	1.6213086276780544
CDC42	2.6153846153846154	1.9861878453038675	1.8642857142857143	1.7837528604118993	1.8237232289950576	1.5811209439528024	1.8982725527831088	1.8650646950092424	1.8679791546033584
CEACAM6	2.2884615384615383	1.5096685082872927	0.8714285714285714	1.2459954233409611	1.5809994508511809	0.8672566371681416	1.4491362763915547	1.3082255083179295	1.3676896352055588
CFD	0.7596153846153846	1.5649171270718232	1.3285714285714283	1.8707093821510297	1.5689181768259195	0.9469026548672568	1.1733845169545745	1.2809611829944547	1.536768963520556
CFL1	8.01923076923077	7.43646408839779	6.792857142857143	6.653318077803204	7.4343767160900605	6.941002949852507	7.46129238643634	7.383086876155268	7.260567458019687
CHCHD10	1.3942307692307692	1.5573204419889504	1.3428571428571427	1.379862700228833	1.5897858319604612	1.3746312684365782	1.579014715291107	1.6085951940850278	1.5877243775332948
CHCHD2	14.778846153846152	6.787983425414365	5.242857142857143	5.161327231121281	7.2322899505766065	6.227138643067847	6.613883557261676	6.179297597042514	6.033584250144759
CIB1	2.173076923076923	1.8915745856353592	2.1	1.4931350114416475	1.6979681493684788	1.424778761061947	1.809660908509277	1.747227356746765	1.7162709901563404
CIRBP	2.6153846153846154	2.460635359116022	2.5142857142857142	2.1556064073226544	2.253706754530478	2.3510324483775813	2.345489443378119	2.2666358595194085	2.287782281412855
CITED2	1.9134615384615383	1.1553867403314917	1.3142857142857145	0.94279176201373	1.0527182866556837	1.1091445427728617	0.9053103007037748	1.037430683918669	1.1812391430225826
CKLF	1.5961538461538465	1.0656077348066295	1.0	0.914187643020595	1.0373421197144426	1.1563421828908556	1.0905310300703774	1.033271719038817	1.0521134916039374
CLDN4	2.2115384615384617	1.6035911602209945	1.2142857142857142	1.1578947368421053	1.5200439319055463	1.3657817109144543	1.5540626999360203	1.3123844731977818	1.3202084539664158
CLIC1	4.519230769230769	3.693370165745856	3.871428571428571	3.192219679633867	3.71609006040637	3.218289085545723	3.5633397312859887	3.6192236598890943	3.557035321366532
CNBP	1.7307692307692308	1.662292817679558	1.5642857142857145	1.4244851258581237	1.5557386051619988	1.5486725663716814	1.5713371721049263	1.612292051756007	1.5419803126809497
COL1A1	0.5096153846153846	1.2651933701657458	1.15	0.8249427917620137	0.9752883031301482	0.4660766961651917	1.0802943058221368	1.679297597042514	0.7110596409959468
COMMD6	3.6346153846153846	2.8011049723756907	2.585714285714286	2.490846681922197	2.668863261943987	2.578171091445428	2.5515035188739605	2.7241219963031424	2.6728430804863925
