,liver-ctrl_1,liver-ctrl_2,liver-ctrl_3,liver-ctrl_4,liver-ctrl_5,liver-mda_1,liver-mda_2,liver-mda_3,liver-mda_4,liver-mda_5
A1bg,62.60252506213149,11.842645181518831,9.33954457593922,10.1246060618433,6.8868100549964,0.4299485120409564,8.61975743699615,0.4442266959069025,3.755520127507855,1.31654904793674
A1cf,265.02689984572703,397.154185673581,357.365992093762,433.101659179491,516.388456864355,439.603736421028,444.817365937169,614.116883222863,247.432149611446,469.71536349537496
A2m,8.6777149229791,15.0354057311316,31.725275539196247,26.2095911144173,38.033612798672,166.76466293124702,105.095178799316,143.728225390138,160.56744249334,204.890099374859
A2ml1,2.29483933758578,3.91631384102592,2.47518092353274,5.63064642989852,7.67575680733496,7.663366343347759,7.80936222275109,4.93805715463694,3.57386553330073,14.5724067432393
A3galt2,6.56924850925856,2.42007496062154,6.28461387013608,6.41892848681309,3.33042799472121,9.02974429285214,5.2447803137915,16.292677856243202,17.5033825800575,22.0872018246736
A4galt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4gnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaas,59.23144868224711,54.5362002470679,67.9088530661024,61.6309166390366,72.5196869433622,82.0164027069972,88.42846766045142,93.3908980550156,97.9842483896162,110.902415997097
Aacs,47.6101470689054,27.950070254000803,27.5324273919707,32.4255958462769,40.5421311770075,140.983983781869,201.09715678956903,331.746803373435,278.754786260915,429.698714709566
Aadac,286.295885966751,358.832534844782,421.384956065915,599.5650185765161,490.60704289846,288.102142474735,432.35678219831,496.723148589771,107.35322794839,327.519295548971
Aadacl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aadacl4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aadat,203.71425349836585,475.1154040709407,373.4000414845181,552.757833417025,440.9771596836967,478.1550821969814,375.3043784535921,423.434580473629,184.35547309160177,497.4293462254109
Aagab,71.77409759431029,76.3295511512559,71.80928226669141,54.88985453549021,95.86285592158708,156.789456822195,178.210333359645,188.881167167658,113.600685940247,188.435039941904
Aak1,9.31433171572441,8.2316624625095,7.60896572161337,6.448080592177511,11.874828829463,12.159038614811498,11.836744144704,16.7208665446596,8.43187984280043,15.4320270067826
Aamdc,118.156631988029,124.246469186315,74.76328517755059,132.051723602352,115.458707004396,112.29906708071998,125.256730546937,109.214680643419,62.4618777103512,92.42374912496192
Aamp,0.0,2.2882062225424,0.0,5.251446568554625,13.4844827792472,7.06091639384839,11.22293416459445,15.5606053446647,2.607103828979665,1.378842729115575
Aanat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aar2,35.20938819201464,32.65650085019878,39.21476789727897,38.65844148127465,43.37122747591105,51.80803086241316,63.40132939223574,63.23477824573565,43.84867358566575,57.36097226768509
Aard,0.0,0.0,0.0,0.0,3.8627382671726,0.0,0.0,0.0,0.0,0.0
Aars,732.21268403774,554.266072823922,655.103928259321,586.4962609546476,673.2039960717491,514.621812019898,605.499077198838,724.541601984125,776.6160690042,735.4838601884175
Aars2,32.982692588049005,40.669841232828105,27.384778064799104,33.0860193933231,33.9721614743467,59.1040865406175,53.314536949712895,78.45367233311849,41.33062080563021,59.8420106885293
Aarsd1,115.217659912771,76.5830343834894,101.648826072283,86.29467030097359,93.373043154152,88.09797372408909,105.170904784783,133.87129622093,111.855829916255,110.322102294515
Aasdh,9.11986758326086,28.0386048508315,13.0162913824749,22.149849524664603,33.0339429993032,28.3981022553787,40.8040210892586,30.7829282948315,27.106935369042603,22.5635536190042
