symbol,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 4,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 7,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 12,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 2,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 9,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 1,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 6,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 10,BLOOD-DERIVED IMMUNE-CELL MIXTURE FROM DONOR 5
A1BG,1017.0784521103,2439.4093733509,1927.1653974666,2653.66818829662,2752.25253844249,3018.6172387198803,1537.3749456075195,9682.244668152758,1189.06396625757
A1BG-AS1,172.579749587436,98.4008024961946,145.158273147117,122.836030907588,180.041195219882,224.013742197675,110.446092962699,387.348491697701,275.966240905901
A1CF,0.274618916484212,0.0,0.0,0.0350632007770748,0.15143563146034,0.0,0.276396639256987,0.0,0.0
A2M,138.171656313622,143.624033258783,21.9194783346331,10.2023289048931,50.235493115082505,14.5304751641235,2.12878297788262,52.6594918882651,208.58026170854305
A2M-AS1,18.5993303764017,19.0643349901331,15.9433703438072,5.12939715956575,7.68265069592431,28.0150762837372,6.39447660924333,72.7749055476902,32.308211599218
A2ML1,23.3488375632017,0.0,8.898812325215609,16.1595060014189,0.0,1.45298634907747,0.655836617741504,0.6787539432513979,29.878150127420103
A2ML1-AS1,24.423101037484106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,43.5593383694069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82731391177566
A2MP1,6.657646248461031,49.519221581326,5.10523064288945,8.24425405630321,4.49680222328249,1.24484264667775,0.454426136204389,0.0,27.9186438606589
A3GALT2,0.0,3.54345411603261,0.0,6.9781841096297015,3.91794569725498,0.0,0.0,0.0,10.9739193463978
A4GALT,164.192440883701,18.5783441576355,50.4578953930071,32.041466277206304,7.513164393210848,23.9462251676412,2.80788924219198,81.5396362697411,25.8361475869139
AAAS,959.9112197978708,1200.5478204966498,843.6153655135181,485.450166547349,977.993158783448,1062.16491557167,700.910368495535,2969.26228823944,1396.44020667806
AACS,316.31179672666303,283.65708036402305,320.031257251026,316.556496376601,324.013159127658,330.983614342155,238.031950692954,716.570680190802,347.493439261382
AACSP1,3.92841204010904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,16.4049658121487,0.0,0.0,0.0,0.0,0.0,5.49753049762225
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.3557806488401629,0.0,0.0
AADACP1,0.0,0.0,7.29325918968776,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,1.86722880679653,1.8051396013905,0.0,0.0,0.0,0.0,0.0,2.8899983166681005,0.0
AAGAB,503.303002437436,669.835484299065,910.078087019636,369.614860378461,797.858575090715,830.7047494078371,563.680132967077,1769.35371140555,689.753750222752
AAK1,3775.12606765758,4096.631860788621,2190.20599411762,5633.82228570592,2555.97780454348,2784.25852731998,1258.81261481841,4103.35446916323,3137.55578486832
AAMDC,536.340377391672,1082.39449239921,653.97174967178,687.167849885372,934.9484830744092,696.46787748518,468.2265953514351,1897.51961978423,702.3281187042529
AAMP,3045.5973837346696,5496.9820560198605,4777.582510186961,2758.44211714158,4682.81106542219,5187.973218886121,2364.061149612,11055.2426335621,4480.38191049195
AANAT,36.4568814063599,9.24428071005854,8.31278162150605,1.58497810612214,16.1810967289565,14.4146067554828,1.60972511999095,25.7725881506492,67.4865116852349
AAR2,419.5663257318449,858.4581298030431,805.231497193111,475.836246723894,901.029561726214,797.000586688988,524.0402343697181,2139.48771023774,739.3340748569618
AARD,12.121252530768098,5.53581174271659,2.84685809568919,0.0,9.7338719750085,0.0,0.26470614696213,0.0,3.99594708140025
AARS1,761.2119743974561,1003.94216390379,795.1506347817191,439.5279228473629,728.487565380206,926.2377280406108,562.576661832465,1861.4429003427,731.5675454073869
AARS1P1,5.405098837752052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARS2,167.755679126072,143.832268851682,130.565490681063,89.28593626447979,91.0916674399808,172.762506122325,51.01357855102589,328.188565493148,265.051535721211
AARSD1,1494.46509709603,1052.94467666919,815.0808423468629,1191.2701213586502,980.943778508602,1011.10102630486,492.0456393881421,2415.9659248246803,1767.1793713321802
AARSD1P1,8.369133504164429,0.0,0.0,8.960772841013949,0.0,25.8168970320297,0.0,22.0018815154962,0.0
AASDH,97.2049491508449,119.481530587762,154.422772694638,73.38598902205999,116.349306699734,182.47535460953705,80.7132185571004,355.3844193014849,165.021359384872
AASDHPPT,144.679084216513,374.794750407453,461.404498347634,138.00063756055098,431.492555980677,621.996559889099,208.231271432045,1021.13771682801,308.260504280362
AASS,54.260035284245504,20.5708095667175,16.9199753168965,7.98059700110936,20.771952449821,26.9662312543905,3.60490247164662,45.17291391189672,58.0199655842039
AATBC,859.494847751826,365.75202278162,246.15575100941,130.68829052230302,434.134509227402,246.255932797517,138.591175838612,947.8717456195668,905.6156870523412
AATF,2391.49879652691,3945.2162379797705,3179.3622499645508,2470.52792982053,3241.78170763971,3606.40474323166,1769.78093038709,8987.44805780914,2697.11356893804
AATK,196.46716391248,159.322216177562,91.9846422295668,140.253789735161,106.446993460874,98.6839701980694,64.279281179099,132.368164318969,367.397468266082
ABALON,0.0,0.0,0.0,0.0,0.0,20.7871070849976,0.0,0.0,0.0
ABAT,251.878787548334,146.878630548225,89.89243727898389,112.151317361701,143.65883226330098,223.718740879748,82.739292209821,336.774747148354,340.842943241799
ABCA1,25.390432683902503,30.005218426815,35.1015715507492,27.2825095570192,35.6024789549129,43.2904822047698,31.028960318021607,75.249181005848,123.721630848544
ABCA10,21.0109802671638,6.1207468165610095,0.118425098149599,0.0,1.02879325789462,5.84401455616743,5.45233426829967,18.8965543616587,44.96012870138461
ABCA11P,38.93262617052029,25.822938037947303,23.8119943598873,4.89435228336099,20.6669735459542,41.9147414614528,26.4277495577985,76.8730635925758,59.376452373071096
ABCA12,0.8640605477966758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2420324031872689
ABCA13,17.695258700221103,2.72926588168201,3.55884773152642,3.488333111075089,2.04637609890573,0.5481467024153811,3.53876768666429,9.49854286693878,5.98799920592962
ABCA17P,21.836763716217604,3.67915215509104,0.0,0.0,4.4874918770572,2.08528182790382,5.125334498109232,0.0,30.1735191384863
ABCA2,4814.88768261888,2126.93494436821,950.818437028598,1260.13735935415,1435.2215068050198,763.538297088629,532.431447062923,1699.74833042899,4728.288621694671
ABCA3,171.820373051302,133.320574923762,122.481771472418,66.4069700743165,110.016086185279,88.1177500074002,61.352649936597786,112.609180070138,157.140787846082
ABCA4,0.0,0.0,0.0,0.0,0.0,0.3961021842896421,0.0,0.8055884239443521,0.0
ABCA5,327.041329912199,47.7836016266334,82.0301619994022,46.239406288832505,40.3047738198821,90.30247244543447,22.6386939980024,211.658661906475,385.385765621342
ABCA6,16.2945480901835,27.872959247551304,22.9509363910683,4.33303749343189,18.3908789044694,8.14914926200479,3.1148481684483795,21.2919204943942,8.53631355177485
ABCA7,5541.819625042679,1267.03813511691,1279.23231200261,1292.67714809089,989.258582712517,1005.03270239351,524.03494581368,3478.0328387923,3613.67299804548
ABCA8,31.259416562292,8.72153607984932,2.91457795167181,6.1786368797888205,8.2818379779948,16.3002209259629,3.65689732785327,12.537666434193197,15.7934257612964
ABCA9,22.9543137082058,12.9060798990746,1.10264855503694,17.4312680261407,11.3058004305561,2.67851759431511,0.963797586194607,1.3519351940294702,1.88213309546316
ABCA9-AS1,1.89657886405408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB1,259.083295366922,382.84598775425695,265.645948810307,436.228490833115,242.093702776115,493.958909974438,123.927346001085,549.925999006885,355.138996371706
ABCB10,352.046037335951,431.327049278227,402.493302631957,132.547095529732,376.738314826209,444.834199987081,289.461209748578,869.971746258006,632.522254098443
ABCB10P1,0.0,0.0,0.0,0.0,0.3739339055382061,0.0,0.0,0.0,0.0
ABCB10P3,0.0,0.346735974305782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB10P4,1.97300461489978,0.0,0.0,0.0,0.0,0.0,0.0,0.341048779367698,0.0
ABCB11,55.9507141842564,15.8688024547841,19.33384958339689,2.71405870776834,18.409879611051604,0.493183482931996,0.0,17.167905156432198,25.8495694635676
ABCB4,71.969423114875,22.220958079810902,22.948227596829,8.20964622176999,23.9766116219792,44.72284642380261,15.2631067401659,92.0954303527197,49.3329410252975
ABCB5,2.57593314342031,0.820762960627457,1.30589277280477,3.83759902011426,1.52993689400083,0.9880272220964,0.0,6.354652681185829,2.63077554881588
ABCB6,157.88853668201202,46.7421003149403,49.0468675437893,65.24677277934,106.216989907696,40.7697763344404,19.56337082731289,77.2098771256638,256.822609462212
ABCB7,378.102979635212,669.304224859415,686.946663795215,362.761294830901,667.6195618723079,1032.09260705217,512.2060046886451,2060.8521154697,583.4081861597531
ABCB8,890.559218091161,657.996557922403,643.1430907507,345.927087844832,534.017613595913,625.364695493212,344.115708621321,1377.16098959463,1395.9798275363696
ABCB9,82.2922942379277,37.0952523484216,120.693205426097,30.764847012550103,24.7414850654467,51.3401034747371,27.608934631666603,67.9712446356811,36.9023533008916
ABCC1,855.7896759721698,1564.0042937660598,1108.53992855797,802.143576374604,1687.65434906432,1175.84134907601,850.20725182569,3411.54972595469,1424.99836348516
ABCC10,1382.0527722166198,599.955089915095,334.298645809083,367.468795165532,544.06537724366,456.34335833585,318.500893630102,1187.264806335,1191.04961448017
ABCC11,5.22533776496456,0.687436134324612,0.537018457942143,0.5799848059272851,0.5632759466300871,0.687520844030643,0.344201494567161,5.03080385722194,6.58628155088691
ABCC12,0.8850615734492341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC13,9.45303047645256,0.0,3.33655730426348,0.0,40.941677504518296,6.26606916682681,0.209092805045165,10.2564290433114,8.62789812188268
ABCC2,104.695186520284,7.45638629234504,5.377379814119589,6.646905167222919,9.600107000669633,11.4236114618472,2.58565855056783,21.803493663445703,38.7410626777691
ABCC3,385.322323040728,271.34132465869203,379.7190304151831,210.445384556556,405.603998258861,244.66584423640492,130.14073131778,1538.9309023105802,788.55964086903
ABCC4,98.16810628146092,76.6982777506738,129.060332232029,32.7955527770354,86.3715119108243,136.627903043045,64.448347965287,194.445060671761,61.279814842065
ABCC5,367.16067459038806,243.308308550138,321.2230420665,125.911119152362,359.119054616044,435.295591022365,175.757811618466,1065.8929017121,511.7653666707449
ABCC5-AS1,40.622983953931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC6,39.1057080180238,79.9094387337301,64.0593438172955,12.6837713564239,76.7084175678345,102.635030503571,48.2687622982152,227.23589772332,119.980085350777
ABCC6P1,4.91809340190084,14.4390689455624,17.9167269471406,33.284464334191,19.8764491486007,20.337876701271,40.1745437783105,111.224254536667,9.2967988374691
ABCC6P2,0.0,0.0,0.0,4.93138873786145,0.0,0.0,0.0,0.0,0.0
ABCC8,53.4360500881528,2.4229483066192,0.340715525412536,0.148449395497745,0.0,2.0312798093970903,0.606959226146815,11.7577123956261,6.58066717111019
ABCC9,6.571073213049259,6.146075680086612,0.418847309252479,0.486938303432277,0.750147895866278,0.138762468266479,1.62820723161901,0.0,0.8270683208588531
ABCD1,377.0254407716069,675.673949015313,678.056739701098,404.448177096762,752.6660595096208,758.653298961444,443.159897441813,2125.42669258904,864.915819905282
ABCD1P2,0.0,0.508840700869629,0.0,0.4280442692266269,0.0,0.0,0.0,0.531634861955529,0.6181958482278679
ABCD1P3,6.33241935578655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD2,49.48310473978911,60.6859091417786,131.035720431042,37.3372239045282,64.3944396460256,149.187916205022,69.0579647461602,265.878284779573,93.672856210722
ABCD3,259.795275092868,290.735150439454,326.407420291069,141.840968778128,310.15594381724,463.454672688787,159.009956687843,717.878033845045,437.867496454542
ABCD4,1852.69474835524,1109.67917531858,999.07382875559,523.249435400645,1000.62366534761,992.30063425671,652.142199500286,2296.8123976215697,1860.84415687197
ABCE1,298.437290740214,423.662642957778,857.296046169306,241.463187517569,661.578382218022,1380.15047125222,483.315903439484,2069.78246661206,549.155820113476
ABCF1,2068.6165688204,1637.42393875254,1308.04516377735,1117.38095263712,1554.1474043208402,2494.9926956209697,637.770687639141,2768.0105180730493,2515.3023191061898
ABCF2,933.258477758614,707.15158278095,656.2602575548931,510.731037885115,515.4715939222,920.280903442547,383.580917862388,1804.2889205208496,589.137309823165
ABCF2-H2BE1,280.964886960527,511.797172046256,563.152227564394,245.219275980033,496.133909808738,729.6139319642191,359.51731986067495,1161.00538776988,495.213561016171
ABCF2P1,0.0,0.0,0.451606789584069,0.0,0.0,0.0,0.0,0.417729027800696,0.0
ABCF3,2761.60526636082,1765.0086578029398,1131.8766988285,1080.94436726857,1353.66980912938,1339.76124312263,536.261530683773,2634.7398004811,3466.18964521284
ABCG1,177.30215453318004,268.613998860174,165.794544860699,269.19848290973204,206.91341952145905,316.647738684851,165.50246642533,498.586120696304,363.640483223928
ABCG2,3.53671401119482,5.99701262367849,26.788197380503306,2.0879301224634297,5.52198534692649,3.07759076344169,5.12956534293975,40.7727159349567,2.12363915054636
