symbol,LIB222,LIB272,LIB341,LIB259,LIB315
PCYT1A,400.404784626139,340.119402355564,633.810305770523,464.28153960199006,559.516099228143
PCYT1B,14.9185558018525,0.602869351587651,17.710732064533,5.33267578693186,4.69574825303449
PCYT2,299.623452456,51.262189930878,431.01952329617006,120.448556769532,250.89906859915905
PDAP1,1373.57440091767,608.467910595976,2011.74310926469,1189.18715505658,1308.23167839231
PDC-AS1,12.67641710282,3.12000329196352,6.78292007831043,1.5553896564685,0.4312046845056261
PDCD1,52.2920605697301,8.22364429484574,94.2675900188615,62.7372668284678,80.3573873202336
PDCD10,606.808432757536,213.532161945018,1201.25065253332,571.8992454040471,975.529864889034
PDCD11,181.98850682251492,41.10931718019921,250.59009188399105,76.43095372967821,117.301076765089
PDCD1LG2,5.081345681788901,3.22105962657921,3.10453519674773,18.8422463733274,10.6383752344111
PDCD2,596.0870743401069,116.37123388866002,1301.515013768,295.654360169203,819.1074994804628
PDCD2L,74.9048833030318,7.52175961665629,162.472422891405,11.8407049130026,64.5911083513696
PDCD4,1366.30348592532,148.950797872612,2764.2093646017493,663.570517627874,2179.98783817018
PDCD4-AS1,450.767344396579,67.7288099332607,825.329403346498,250.581243797936,535.502991813427
PDCD5,628.726610914822,160.52495246293998,1426.63044391845,329.019294159718,833.4019448283299
PDCD6,1333.80669814857,657.465184416175,2511.66455416913,1269.50265846643,1875.51840308945
PDCD6IP,773.8108366220599,276.82689783083697,1886.98371797578,870.845425272115,1600.6452828872198
PDCD6IP-DT,2.99376871295712,1.81622217792362,5.69087488601892,4.49811415518347,4.23644020593355
PDCD6IPP2,21.2082246098971,7.72913872107381,7.920066663106871,7.83148162256297,20.3964405194721
PDCD6P1,75.7237292693877,5.98581119724249,110.360822143104,25.1792356704432,97.4000562908481
PDCD7,154.661661719328,17.5632546657684,266.580988881424,69.349362356493,174.717782450009
PDCL,91.56816503576022,24.3723006290734,198.950913098761,47.9968549640928,135.228992515178
PDCL3,276.554010211191,53.588357432316,478.261618780524,165.74444312354998,314.020903167374
PDCL3P4,80.0413744021315,37.6317250541319,205.977555456092,44.8294664377455,49.288379446602
PDE12,41.7664435434764,6.53091896451967,70.7346109794111,22.5337246944914,80.2475702768065
PDE1B,132.884944345588,257.36678530784,81.89881878894191,170.53955866847,76.29232825783009
PDE2A,7.99032624560737,8.396812720895559,34.5289472283555,10.3728655871242,56.4355015554776
PDE2A-AS2,64.50545488936329,4.09621848252904,237.608721412208,10.6400016771733,113.616007345793
PDE3B,187.410992323104,19.9985685076803,392.882968781346,37.3009259296665,289.334594969292
PDE4A,65.72641895712471,28.84516440394989,85.58516867052221,69.6108314642575,83.7966208839059
PDE4B,255.315848466171,19.2614790850438,454.529313095063,149.195703273088,488.356666388558
PDE4D,33.27412287842439,11.5275498114814,76.3295025740782,35.885938032154,36.882765304213294
PDE4DIP,237.053828036782,38.69507965420279,457.04487518924105,67.246230072731,174.39910092321998
PDE4DIPP2,23.070307054489607,5.1219677743231,57.572868545204,4.82481416865758,53.2596021675356
PDE4DIPP4,8.72775130051835,2.4728662743334504,2.44152456236825,5.83267333085926,27.6248923335031
PDE4DIPP6,66.931135643009,17.7879559003764,83.9051249959161,15.9387967892697,57.6329754134667
PDE5A,97.7805897791164,31.898237438297,78.28798517335159,35.1643826941995,59.6566552195571
PDE6B,185.92782532018,21.1704560883038,323.000848056987,49.1680717092111,190.33939401168095
PDE6C,1.0527309845203598,0.284376924879728,2.72433247438687,0.7097364978956121,0.7624477012763471
PDE6D,260.004404950984,102.506169417197,529.750974907195,225.12965962593,399.9176150169569
PDE6G,117.981035107693,44.3927174401563,185.82902927223705,79.1205883751833,137.590040664304
PDE7A,469.375472700381,50.11421281201321,1364.64654492044,179.21045067767795,706.630967380979
PDE7B,3.4960943361093,0.559838980558845,10.9822898977356,0.9228544279319442,5.43279870600577
PDE8A,126.82627172337,14.7134575694689,255.409622654156,38.462187574889,122.904799500725
PDE8B,4.25935328021097,2.16753993559084,9.79409337611725,1.40292661970877,9.94513457765214
PDE9A,123.402931801691,1.4218211733723,86.2434070264102,1.68241188238351,68.9691258745285
PDF,26.62476684395569,7.47164388101965,25.5007037273518,10.4130647956835,38.7805559421392
PDGFA-DT,346.902266506259,2.466975904055,334.45435004437303,62.24858809675071,154.752839167939
PDGFB,45.333397072800295,1.26266484897232,124.897787365166,16.2312070142139,61.0782428806241
PDGFC,32.428431011549,51.249965033136704,46.5817734575755,51.41739395308621,50.3830209615619
PDGFD,11.7718261766146,2.65362767320182,17.2201956077506,12.4638911360054,23.858840615615694
PDGFRB,4.19390374755338,1.6577215141291397,6.23528431760414,20.6005412698326,5.73524354705261
PDGFRL2P,57.4746441848005,17.9836917414607,92.26370355872808,25.1700987979362,54.207254136689606
PDHA1,634.6746062980931,216.832144073192,1283.10104277785,313.169199280326,702.8583880765939
PDHB,490.166785443268,88.4777714287665,936.63510302334,327.09259594473303,684.592134902001
PDHX,60.8957024809385,24.9094135670318,135.064992261097,37.81362115047771,158.672590863689
PDIA3,1577.69995634756,418.094421499248,3686.14615233938,1339.16035617723,2422.85249001071
PDIA3P1,24.3769240810706,3.53067948477075,48.0922332077555,7.47514359478732,32.8816473341949
PDIA4,529.696187144767,112.836652165769,922.228434447136,324.508921746063,631.2451874103799
PDIA5,48.54303700227101,19.7046633536786,152.773472616764,32.6881387211937,98.98629637883172
PDIA6,705.249405929141,174.733773444765,1307.5868307434696,609.478974740231,1158.76349645755
PDIK1L,52.580594199644,3.68436844573454,111.275352018547,13.0271043218888,79.15155742014551
PDK1,95.49657221128192,14.50096008226,174.958148551963,43.5264847783297,164.172567028495
PDK2,311.523399266827,42.720624268561394,462.0009200103421,145.728707151247,252.061856654387
PDK3,141.252879618241,105.191977335923,251.742160240972,184.579340602739,162.451624616348
PDK4,151.532780293887,73.8418510134837,48.5011032086609,188.335701325354,94.8719055842994
PDK4-AS1,9.847716637676,24.531975136855102,95.4303791986514,39.09105593253551,65.3671231932092
PDLIM1,919.102727053945,93.2842183994485,878.414515299487,277.695011452993,537.899786269563
PDLIM1P4,10.961168301918097,1.12408780744824,2.35508582799963,19.0197411072375,27.0125791216673
PDLIM2,1767.26596239439,684.623587886275,2771.1521560095307,1723.5250963930405,2182.1792787777104
PDLIM5,135.180020437215,43.107770705768,215.445655160601,98.55551927274608,238.484714438995
