,Lymphocytes,Mon,Neu,Other cells
LIB222,0.3057,0.0669,0.5914,0.036000000000000004
LIB259,0.12,0.08710000000000001,0.7817000000000001,0.011200000000000002
LIB272,0.19640000000000002,0.08929999999999999,0.6964,0.0179
LIB315,0.2766,0.10640000000000001,0.5957,0.0213
LIB341,0.38,0.055999999999999994,0.545,0.019
