,liver-apap_1,liver-apap_2,liver-apap_3,liver-apap_4,liver-apap_5,liver-ctrl_1,liver-ctrl_2,liver-ctrl_3,liver-ctrl_4,liver-ctrl_5
ABCA2,4.900627748075149,5.0624407573546,5.064795882649835,4.157474744068137,4.511698994074757,4.2772138629836824,4.470267501639889,4.235179759368691,4.164518850214833,4.597750840485525
ABCA3,4.695412684872564,4.59220847401975,4.419549081790099,4.478001034396542,4.472112384437145,4.587798541009358,4.43307785516448,4.5873640957455555,4.456659524436328,4.703201081166394
ABCA4,2.1477317411045065,2.065791659297527,2.5340269311194796,3.1340269876315148,2.3655093370175493,0.5818450438359228,0.2985010520722516,0.5207338227752916,0.0,0.16352092252419534
ABCA5,2.6577262602137255,2.697785002403109,2.546626689776851,2.512995958430207,2.3872512242698436,1.1539843114190416,1.7184826491033687,1.631091678930545,1.8865724515659368,1.9626171298540491
ABCA6,5.558471637403398,5.212659567577751,5.560663665931206,5.579487241892959,6.204173075776581,5.756860866416365,5.892961392886449,5.881375992152184,6.112509465810942,6.224304412285578
ABCA7,1.0376712676733284,1.021262635185872,1.5440888468589495,0.0,0.0,0.0,1.5442519763672327,0.0,1.0736504441622974,1.539982987686853
ABCA8,3.7355059405810134,4.067257497141877,3.6856015283405017,4.000341637432249,3.5124443310210585,3.6499999462020285,3.396214720544714,3.2031901647273395,3.1501644707194862,4.17266637593363
ABCA8A,4.884977329724843,4.484718016914667,5.193115600754117,4.048951743370119,4.257660718500651,5.007566897259991,5.230902881244428,5.036504651926426,5.242753768329899,5.554607992513691
ABCA9,2.9981803502548416,2.582401049968256,2.9105470221916527,2.518613255641426,2.6493431338720064,2.146702308271272,2.926491444562879,1.821970525846897,2.3557046711061767,3.638316178834193
ABCB10,3.942748971489746,4.230034866786374,4.285442257137109,4.117074564612669,4.486224759521241,3.921618175437225,4.302561989621272,4.185022229096037,4.439075545216027,4.481629989840855
ABCB11,6.805738719076507,6.196056865331328,6.6906612763493785,6.494324764832223,6.856760247419865,7.117754315521017,7.435096812674564,7.539883889709231,7.635858913975539,7.69598349079116
ABCB4,4.538250024364364,4.812404449636995,5.384863212900479,4.952120569159148,4.666464337582728,2.8534631308369667,2.408546823096827,3.0411037528550713,3.0544763716155785,3.34912386686872
ABCB5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCB6,5.705380290448285,5.666198997080984,5.4677277378462446,5.464760158516622,5.515906891709374,5.2013751270380935,5.00946420673169,4.912821458995842,4.826124333898567,5.070797876927629
ABCB7,2.0823757447610096,1.507019236068175,1.4351974930370455,3.5135997773056937,3.1660736577028583,0.0,1.1052610230299833,1.8768553264115766,2.7400303661451066,3.322917995448156
ABCB8,4.454822178543121,4.4966128424640095,4.436086567625816,4.021464116356517,4.3722527627438454,3.881003778014613,4.077033969740337,3.725190384470033,4.0086039907998625,4.153424936131795
ABCB9,1.052509351781809,0.4182394570210599,0.42573435806936594,1.284221102584441,1.2201744729259545,2.1277556939067064,2.2136972353163906,1.5221750242865362,1.9073941455423895,1.7698179825474858
ABCC1,3.3918614731520274,3.621295681725733,3.0642903092304126,2.61977806521886,2.8911606361082858,2.4855560566540587,2.1667523147235337,2.1002717369369095,2.4527143135835727,2.588239520273504
ABCC10,3.2525844923889364,2.7852547704753743,3.1889388367451317,2.6116552179295502,2.625467034182716,2.733096654339901,2.988249706007791,2.4324557405694445,2.577451469230416,3.1470308745833298
ABCC12,0.25527551198072834,0.13353439680952978,0.13544916255450812,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCC2,7.821993881680525,7.420820906620212,7.476511146417875,7.885657200720014,7.694977948704672,7.586202949637341,7.623217995181851,7.883583091418485,7.789050339376507,8.18897247677094
ABCC3,4.465539486827386,4.212971221299932,3.1417747236785023,4.206658864928631,3.6154064999906197,1.0261340873277867,0.9646369944283999,0.41212834709331503,0.7456352627319203,0.31042246636325244
ABCC4,4.04813946030776,4.979176421294261,4.530646862216964,4.469798751005336,4.301206603930727,2.77456308316932,2.493608643368659,2.8137899248294214,2.563757138134502,2.972155761315987
ABCC5,3.2802307289690074,2.957908058968079,2.9650786694493654,2.0526192612356686,1.8259050352310664,2.1330235135455813,2.367952168071054,1.2789921856073585,1.566352140198466,2.9280253457568293
ABCC6,6.518716614531608,5.86238597713076,6.14853929635824,5.5234792938629305,5.904430299452658,6.702377930723121,7.1131565913312125,6.407864582944662,6.496305351687266,7.209363003350664
ABCC8,0.3561196789674957,0.25030425964678127,0.9992226934202272,0.357419041406367,0.8261212701148615,1.7133468064085255,2.039192820355164,2.074261427709188,1.6976020577068873,1.5238792574890412
ABCC9,4.29061606364996,4.000848982866039,3.8259283369406276,3.245524028663592,3.1446713712124597,3.1610403966216003,3.5872557688357807,3.673545221374124,3.865538328823531,3.7051453035304007
ABCD1,4.682160171834817,4.219684202544078,4.509203084247757,4.696539439942305,5.111828718126262,5.6762136986523775,5.335698707085094,5.510829336841733,5.343385086141397,5.364592606044396
ABCD2,0.3763737468277477,0.7544074177327785,2.4757368436517133,1.343109917722847,1.1108934816984302,0.8124288629457032,0.6478419531813545,1.7022762190381033,0.86593781795135,1.1947502970751895
ABCD3,6.630919688555076,6.679760578923559,6.72088710768572,6.947457932578926,6.984328777777571,6.518371450694399,6.876183983584771,7.019891145866423,7.048040931415692,6.998040962302361
ABCD4,3.913999671825101,3.3609868400987155,3.746914506901724,3.5806615212128667,3.605030311266335,3.3998009215931413,3.5106999635782365,2.7434489521928955,3.384537212357551,3.4634363688599774
ABCE1,6.267866451754412,6.25061323809196,6.736850265313276,6.496098058975765,6.369740091780573,4.911706406918114,5.357235605564058,5.423176672819417,5.604958944803421,5.780000625229872
ABCF1,4.226455604304657,4.071891532948616,3.56029836278858,2.9509659161440984,3.8582744193093563,2.1304049568983707,2.93961223171662,1.5018426317078477,2.1967553390713404,2.948056119307232
ABCF2,2.1645350594937836,2.864313066203042,3.115625704530682,1.7998888649443117,1.6877034713819463,0.6870676339680346,1.8606474847928864,2.1491259347787794,0.7607078198472642,2.179388331469062
ABCF3,6.275170218017112,6.060323648817557,6.132503346339854,5.9622699581013086,5.931552765795472,5.582801105853001,5.427383353431116,5.5819637006726674,5.470635714676518,5.664250087988935
ABCG1,0.0,0.0,0.0,2.985768324532969,0.0,0.0,0.0,0.0,0.0,0.0
ABCG2,4.138391853058045,3.757030443583223,2.9248274989896874,3.102170825115148,4.592308542829329,3.703648715993156,4.210703566766371,4.274053689249062,4.597376153699492,5.12383452922487
ABCG3L1,2.176551366035663,2.1865704819419016,2.1338033837040404,0.8793828684501197,0.8701907097825685,0.8290011672982898,1.5290093188342302,1.90128155557175,1.8919053305832307,2.2042845922866663
ABCG3L3,4.7327788870307685,4.606231679252638,4.641100812237868,4.367640631655415,4.509165106480441,4.353278532708332,4.758863850659182,4.432065888340981,4.572021168296726,5.015580406989755
ABCG4,0.5807748743440806,0.0,1.216560803679345,0.9341005823995172,0.9472417224955952,0.0,0.5650152416910551,0.0,0.9294319494844916,0.0
ABCG5,5.469566126171904,5.11702083409674,5.566984386309435,5.876869835436708,5.838003656313656,3.9640281382697795,3.7251320444860268,3.1977967850227573,3.4027976921995595,4.868031648880643
ABCG8,4.28952346369055,3.808069747692558,3.82937051839669,4.748029039774821,3.823257432073472,3.447608578375244,2.6733648982258273,2.1462875576704143,2.5005671524133124,3.7192424244033706
ABHD1,4.646164216005017,4.377508923783227,4.391128370519767,4.520075471863159,4.719610384387767,4.845981983047033,4.552586567720465,4.98714926177716,4.5561506210223275,4.694272958947268
ABHD11,5.14119588542041,5.30317105496109,5.481154497055837,5.131797661691047,4.710818913532752,4.28416041147528,4.559983974440592,4.203362079598936,4.263137146228236,4.82946581692903
ABHD12,5.743119679112024,5.687359411549115,5.290160363227699,5.39818059250483,5.680948724542683,5.527488054723134,5.043228027680839,5.466290145368443,4.913425673345578,5.16416621780994
ABHD12B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD13,4.31774812344743,4.326286522310424,4.770738490381946,4.540427888774377,4.643260310521013,3.74409101235187,3.91064431721002,3.6813966146988264,4.33140604213247,4.224203950894066
ABHD14A,3.008990464761106,1.810866453948215,2.8175681278750804,0.0,2.226729505598259,0.0,0.0,0.0,2.2622986240234133,3.167197021989463
ABHD14B,6.696322047293008,6.321892055062062,6.525910106012278,6.411042173405006,6.482632358367553,7.125816068590061,6.947521456640944,6.9285066679570395,6.916352466826519,6.93920473860026
ABHD15,3.8828311306352674,4.17620793975058,4.268317809153693,4.17612649465279,4.404412820186499,4.115344613266308,4.133213885770159,4.456532881299489,4.0159251487225465,4.451954910376949
ABHD16A,2.7024356832507914,2.450918729498636,3.1370484798075573,2.0002732079472794,1.8652658503549806,0.9083027757136638,3.060513009754726,0.0,0.0,2.888772539977004
ABHD16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17A,6.98384635599797,6.647875926843208,6.709854970589408,6.760049589098367,6.640727686832922,6.870482716189066,6.632091816187862,6.790371689117813,6.451700707977307,6.711230197161976
ABHD17B,4.195842664495703,4.642007035095695,5.647140942901938,4.902712815024409,4.989753644302438,3.5837535245602936,3.6093418897803105,3.801081913778138,4.506421405033386,4.185009234275785
ABHD17C,6.258054428342045,5.923230241222302,6.02723877776603,6.247939551330209,5.971405299593687,5.809078807907782,5.740906628411578,5.7601414934071276,5.753013566429625,5.860395208410282
ABHD18,3.2832613319181894,3.1509160457074152,3.33091642464997,3.0161180260391136,3.3100139105322492,2.296719633415724,3.2247364689091604,2.881089837266951,3.1172816919830373,3.5204728491281307
ABHD2,7.046893066802744,6.600353789046432,6.9731033456607605,6.713832269305397,6.564090421689803,6.643005819762689,6.1993913154668965,6.305122913395775,6.106987817976399,6.532138878185808
ABHD3,2.1209850277505278,2.201032067493498,1.7602009320220653,1.7352812246402314,1.7648893345669021,0.0,1.442034126246084,1.59819400732091,1.235561804438276,0.0
ABHD4,6.682196791220348,6.389768366874593,6.765475225508423,6.412929669538878,6.554537529094957,5.556767768047904,5.346316441792456,5.755056644035938,5.709111549460234,5.86899014053351
ABHD5,6.038934988788445,5.607262598598351,6.444134938316595,5.8258119395419365,6.116602999062628,5.044346232782024,5.427707727443739,5.478689372573419,5.798537546624609,5.948277867861612
ABHD6,4.804808682312245,4.598081982208445,4.827159147975992,4.712036446129663,4.810290778857543,4.414931379715148,4.483405200867476,4.706606010792493,4.572082438271732,4.767912981162899
ABHD8,3.7667756029664945,4.122827657919525,3.2439245108144834,4.06756526806296,3.67677389103955,3.8540801557307645,2.9204614278136103,3.739030682883955,3.111135306900604,3.5283843078632615
ABI1,4.56867031874654,4.777204435241676,5.263994256763658,4.620749444125257,4.768131596770281,3.495759542734632,3.896830117562029,3.88963159015877,4.3098945769555215,4.322553628235801
ABI2,3.573788982463676,3.528277758759945,3.671181383178745,2.5996142406028016,2.634637220340629,1.420064675450054,2.492296831469585,2.730833667560619,2.4245738128947534,2.174467954615941
ABI3,4.707755875988868,4.383921285084586,4.190952539405339,4.148636097263122,4.038113669779557,4.3925541212240935,3.796666622266962,4.216257097066651,4.126011709806734,4.336859112264827
ABI3BP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6649020240110554,0.0
ABITRAM,4.734011731255037,4.686728759855448,4.495507619242814,4.863772221431145,4.305221331500378,3.3914978898633166,4.183646121467543,4.2153806946676875,4.156105642414661,4.318195032117709
ABL1,3.1553723036091164,3.136012164712791,3.5968824304418585,3.302488020601069,2.9915117999290164,1.6701617052504216,2.837973054136623,3.3848834305008255,3.021194204788268,3.6905277746942273
ABL2,3.05921347293425,3.2845497005035758,3.4770127947211136,2.8967382046282606,2.7984687439612026,1.4176648643371579,2.020314723713218,1.8596993491408365,1.876277689584268,2.668802763321344
ABLIM2,0.0,0.0,0.2408025380904551,0.0,0.0,0.8894644812671249,0.6621358160380899,0.0,0.0,0.0
ABLIM3,3.834060781984135,2.71032012533274,3.450362931736902,3.3438643366628886,3.5413001540535647,3.2997284628373285,2.061579829661988,2.535733920661412,2.4584953527788174,2.3488842141069766
ABO,1.3510347200601944,2.017298392234483,1.9072256791651125,2.01829327522038,1.3514689396240471,1.6567545038960458,2.4162100475525152,3.1701913617224613,2.500591957285423,2.0387907409897057
ABO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABO3,0.0,0.9493306898778447,0.0,0.0,0.0,0.0,0.0,2.9282319885167127,2.4926284883666714,3.0155862411019707
ABR,2.840864531736243,2.6933572960321213,2.4366263059348743,2.164482139328568,2.3313799356605025,1.7913369773144858,1.7990049254354785,2.252753531367488,2.0278572732248454,2.5224859750901163
ABRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABRACL,5.423019611243636,5.459035434838977,5.854753495171115,5.832596159183669,5.7937020618408335,4.412844136976579,4.545894282913747,4.308725547179342,4.785729662170485,4.6614646674111
ABRAXAS1,3.927088662225037,4.4111492763094375,4.334509852074309,4.103266513483955,3.9351063806864524,1.9971980677019467,3.4196723108039118,3.0645377364665602,2.297402119372115,3.707310562767847
ABRAXAS2,4.952956545741371,4.77188915774338,5.26905156146615,5.068736596783892,5.11524211845089,4.115842487178321,4.293454579471697,4.304934756937012,4.451688162388337,4.619921293506723
ABT1,5.434306739579061,5.45947907415822,5.523831529114567,5.340587947633343,5.027541371653829,4.586415154144936,4.588428132210535,4.581591812357773,4.540838135345469,4.523774638835822
ABTB1,5.574528561210868,5.307968782118042,5.362480363853604,5.328884001133437,5.602038638882572,5.227593433391241,5.285010429117519,5.183876047793329,5.214592455856769,5.323780361347846
ABTB2,3.8823533609133354,4.019589025190962,4.211227272677184,3.8683203157019936,4.21663614752668,4.13835315258341,3.949129301454691,4.146115750311495,4.2273468878357985,4.609483030428516
AC1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAA1A,8.331140955964404,7.627837266487908,7.74096372794607,8.294599268703486,8.32560390875893,8.475292387635017,7.968748932375572,8.330686205291977,8.023108022400804,7.94662174092586
ACAA2,8.958947824882621,8.930036655528676,8.83256037736998,9.283458152677067,9.057978779622658,8.315470311971058,7.968588392843737,8.169139815107252,8.202919639727188,8.17762277064219
ACACA,4.2051052150435515,3.8806151347368316,3.726513381237264,4.181450835249443,4.487594008168863,4.893951023095807,5.6444903735329355,6.134890120706861,5.874596704818593,5.665283656102804
ACACB,0.0,0.0,0.0,0.0,0.0,0.0,0.2552817396351181,0.0,0.0,0.2911878875111186
ACAD10,4.3387703760629,4.095776533459577,4.866716602363061,4.059111655783196,4.573150478945597,4.488662122466932,5.061436293675245,4.364272293232426,4.6090564205072395,5.5993993440654135
ACAD11,6.0957123112243154,5.598403748120048,5.974865468065268,5.718728286287999,6.172583585331535,5.506848897376978,5.622269958834286,5.5708174651819435,5.784723510025537,5.849936481842918
ACAD8,5.4735307036998195,5.037374703912418,5.566688710131943,5.065364490430548,5.351582962005377,4.567044027840782,5.279886896817695,4.516893148407238,5.117735832204566,5.328777200005626
ACAD9,5.08046108716125,4.8188778840311155,4.95635140328613,4.843473902270865,5.2998585907016,4.487776305069804,4.911420639279861,4.892445406647206,5.086661020218296,5.210123149577583
ACADL,7.986398131991336,7.9419785899972934,8.337220881047664,7.881440464142649,8.173216672909916,7.9384401327650504,8.079793913776225,7.918852413672387,8.086797308809851,8.074962250580533
ACADM,7.307938075620818,7.038302429455394,7.592880141953544,7.19155980377611,7.653455103638733,7.3415122102861,7.83311962778418,7.585011989871708,8.094178743191799,8.067021103618488
ACADS,6.871210040472416,6.558395901930274,6.899338184804518,6.600785568699238,6.840318050077275,6.582906154971306,7.106740605297797,6.755877802249374,6.896067868571042,7.148793938278915
ACADSB,5.320592408727272,4.9705508944134795,5.815259537052381,4.885643569217692,5.111521398396049,4.773652568361788,5.678900323491932,4.541892093254059,5.726611821166028,5.884462613868872
ACADVL,7.780668322984989,7.5017994339991745,7.7044861780616865,7.438801781581161,7.641152253619106,7.447886461801031,7.541807682011637,7.539947346251697,7.466979785407476,7.661698325321391
ACAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACAP1,2.580258588170734,2.0137911800106636,2.540275486046729,0.7343004422985162,1.3300441334065554,1.8587063626811957,1.9358331706347935,0.0,1.5712266133348953,2.6201665619150982
ACAP2,3.840824201918974,4.065201426604059,4.70647242741401,3.772164904878135,4.201054922313528,2.5354900238618057,3.301404257070111,2.7778489742334598,3.1518774169277823,3.6436315505167087
ACAP3,3.7420241923372792,3.5328850398989724,3.8627260682877864,3.376114300430408,3.44453719791188,3.2941225132443974,3.3126033080909503,2.9566183138627844,3.004536950342377,3.574083550190737
ACAT1,6.9113644754686465,7.124059685983787,7.197851628314887,7.057626114318932,7.278731243265865,6.844576556797402,7.094063248962664,7.068433244245246,7.32955175461069,7.429593900830406
ACAT2,3.9556787990576825,4.1348060921312655,3.8317570622320933,4.0852199389135775,4.099364494340101,5.213075107096829,5.061861467416927,5.638705107952984,5.496861837193543,5.1736451658200036
ACAT2L1,3.1622325762035883,3.057750252103085,3.1780963201214942,3.062558023567242,3.316435223737703,3.9449447368917774,3.9831903655727925,4.342551619003886,4.134029953512471,3.827195888987062
ACBD3,4.689678216647985,4.686348256641891,4.91975278596576,4.386641098013757,4.542097669839674,3.5438446614247296,3.886173354168845,3.962558101220774,4.105263724418456,4.424886297781897
ACBD4,5.924534591847073,5.674388400491365,5.87088904168068,5.96934417306597,6.092930488510787,5.12852311637965,4.923869403448323,4.8608641779694635,4.7977391902890245,5.0479854693158375
ACBD5,5.2171598673637165,5.200911134424474,5.972758700765159,5.7326911043447435,6.007401031402258,4.605893521604555,5.269252870324528,4.8805423863209345,5.730239358652761,5.678067703580792
ACBD6,4.685812820645977,4.561786598240695,4.768921126776749,4.587506258605745,4.400280764151095,4.027477578110167,3.556530830885309,4.071617918364093,3.828683809033092,4.046973011566959
ACBD7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACCS,3.470145000594992,3.223545770529088,3.18525387662765,3.295840639210705,3.244057462690117,3.01954148439553,3.2078724157025023,3.250189375433498,3.327820098825909,3.686935685808772
ACCSL,0.486567796834212,1.2409483341388925,0.0,1.0378326603453305,1.0571592654835142,0.0,0.0,0.0,0.0,0.0
ACD,5.466944420764545,5.546851847220207,5.462917334172634,5.139059936332161,5.077412590616325,5.066888397647913,4.954461800615018,4.511013383480183,4.480611674791758,4.890519235195787
ACE,2.35519762853545,2.842595177553566,2.414296499749987,2.108190959498022,2.1532124645810065,0.871115279042947,0.5679755156096186,0.3191986014364223,1.0683468595122314,0.5797777798203877
ACE2,0.16894244031517724,0.0,1.1520508108330172,0.301356408459197,0.8387255698529765,0.6086353465310189,0.4242987700694283,0.41756878016059135,0.654594144587303,0.8309441420585291
ACE3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACER1,0.7986992007250968,0.4703289722557286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8021811004068448
ACER2,5.510715095509069,5.4640796794099495,5.371700565587194,5.23075479498836,5.358392272826817,4.1264287207990975,3.842807016401838,3.5344123072855105,3.8689980308088483,4.00381993563945
ACER3,4.158590544860812,4.31705891382726,4.438162752530263,4.359420543847877,4.319570530465923,2.864645455813304,3.174409662520693,3.3257305237666093,3.4152246949596625,3.4544716874602552
ACHE,0.7145508518337862,0.0,0.0,0.0,0.0,0.0,0.5325346779054442,1.6903423400427766,0.6449574613514255,1.251533777340567
ACIN1,5.642397967808803,5.495215092891637,5.5605284996498225,5.23315806308231,5.182395482469242,4.5381029060370395,5.0434167078374905,4.617106821879974,4.638889110095591,5.289931249484778
ACKR2,2.2785882864224267,0.7977610527872301,0.8116804199183041,2.2593167823830607,1.5588729647783344,1.876029159857762,2.246866514322983,2.5598496546387017,0.7978392493040515,2.3939115075643795
ACKR3,3.835879075161932,4.585530580347857,4.437081243672756,3.667395574122806,3.51669447439962,2.80488215750292,2.685832300979382,2.992682805873734,3.015756998585667,3.308653655065869
ACKR4,3.2784744378586135,2.1364552757082715,2.975202101200516,0.8494299688173946,3.445904127151364,4.48403631131742,4.194464244650614,4.561116519160321,4.370068997804916,4.765374522845922
ACLY,5.4925287205445175,4.68534886772724,5.452011937772242,5.270532165211914,5.5860434968423665,6.58047798784347,7.741309594367488,8.076712208912214,7.869524137868209,7.14550384148155
ACMSD,5.099296214794388,4.576182113521354,5.178449691571012,4.688293098057491,5.753328783434789,4.227630706406519,5.091999459627729,5.049749893061375,4.65153553145216,5.2819434042421625
ACNAT1,5.991393734471014,5.594564500347048,6.36823422863,6.043983674074408,0.0,6.945284954314853,1.2844593592469657,6.7436836303403735,6.843791669801638,7.108897545692164
ACNAT2,4.693103294495222,3.752431953094911,5.196135807309843,4.669999810528299,5.714735193296423,6.440843021398419,7.191318428878082,5.91686083244337,6.552932125804193,6.882241952986483
ACO1,6.785572648912176,6.588683608970504,6.4311448931880015,6.709537646004094,6.729908259836723,6.932045198645404,6.463246758448537,6.727215869914059,6.5242426789777985,6.561836634583159
ACO2,5.018058482079044,4.577396486770198,4.8800734569060324,4.681603928726519,4.90734890518009,4.469139210025928,3.3422616299971466,4.557273759853437,4.033824862483872,4.293258016031482
ACOD1,2.4133669228694457,2.14387963006079,2.673418000323909,3.6286001944766326,2.216625707193077,0.39193730965408763,0.2321053160866185,0.2294636913948231,0.0,0.0
ACOT1,4.10316266118934,3.461859211380868,4.086189244692533,3.766468509777204,3.090314784901038,0.0,0.0,0.5358557437137853,0.0,0.0
ACOT11,1.6184015033837722,0.5045346556708532,1.1106603361959044,0.842861112363397,1.107063145410437,0.0,0.0,1.4358553685037594,0.8376212626350895,0.8519129136143827
ACOT12,5.901088584589234,5.459759635009453,5.790493553858454,6.053325296322351,6.122829998994849,5.4989689816814336,6.062784883040582,5.635926179290277,5.692661859341331,6.058704008230671
