,liver-apap_1,liver-apap_2,liver-apap_3,liver-apap_4,liver-apap_5,liver-ctrl_1,liver-ctrl_2,liver-ctrl_3,liver-ctrl_4,liver-ctrl_5
A1BG,1.167541326581117,1.1277549338991875,1.2719064360252614,1.2518266385878796,1.8915876264045701,4.1526531717927355,2.5527712880661744,2.335975823230126,2.40915941725396,2.0651917508237543
A1CF,6.679763928709656,6.212118030976658,6.653734386467121,6.435687508835575,6.808036690738663,5.583597430908259,5.986839331453874,5.881554788467367,6.073278744411791,6.248793959615845
A2M,5.380489328650842,6.575352294798355,5.819805513664257,4.309553177989913,5.440514376137141,2.2698258117458296,2.7747991356707566,3.488147731598447,3.303569525648705,3.6644231415684803
A2ML1,2.438759697478864,2.538054916632483,1.5407085593066654,1.6768782899017993,1.7030585508186258,1.1923574073076562,1.5925590303954942,1.2456465419874239,1.8917023001837248,2.160532562066344
A3GALT2,2.988659444150312,3.3938006101239186,2.7578867634054585,3.2285724498392283,2.907054725112728,2.024093790296783,1.229662469144703,1.9857644348294081,2.0040346379660385,1.4656663811761166
A4GALT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,5.456295652695404,5.448100323629746,5.312218163132177,5.208987698840344,5.160009414377017,4.098194619269231,4.017035064829364,4.232784661290718,4.137259032212378,4.297553219923053
AACS,3.379587878874281,3.671724631070613,3.6409295868189595,2.7152873782939233,3.0068443838033145,3.8838322965394236,3.3655726307518385,3.351041243694135,3.50932194919492,3.7267081213449376
AADAC,4.887353598552902,4.349750902234269,5.6352024430158485,5.57135386073316,6.088553775718394,5.6605126462403605,5.885638742233198,6.045917116383555,6.39787090972463,6.197679704071072
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,5.353837307741858,5.024123332169676,5.5757061722299985,5.334903976017705,5.721393927134561,5.3216151214026866,6.165660270373439,5.925324855406097,6.316727467384843,6.091258205818741
AAGAB,5.055181433275262,5.301971517574631,5.140938818618335,4.660256166315399,4.871350553196218,4.287360089614035,4.348076174275325,4.287843450738083,4.023382870585255,4.573296121586733
AAK1,2.97192632278295,2.980470460335433,3.069499743258724,2.4058192873031077,2.7643987108859647,2.3335343568068025,2.2226391474107694,2.1528041859758673,2.0079563605630426,2.555274151662433
AAMDC,4.191687881240843,3.9685488905534725,3.7768906226871453,4.080176684341225,4.431926480183943,4.780438862826873,4.830283549438404,4.32761381089373,4.890737951885839,4.757536763860616
AAMP,2.637018347350453,2.4073772791396806,2.7428576616084497,1.1887697013917902,2.0850643261257464,0.0,1.1903421949784703,0.0,1.832812887936407,2.673077923248424
AANAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAR2,3.9809074492894054,3.986637624370406,4.020360913091369,3.95067061874492,4.068694735484598,3.5893184275291654,3.5162062276309856,3.6942342887934108,3.6803038253269325,3.792591229554275
AARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5816017087050027
AARS,7.166312461911711,6.848105734299042,6.894174540521788,7.153018251030559,6.90594734552071,6.597435815376389,6.319447409359492,6.486319203620396,6.375869881665547,6.513532729913438
AARS2,4.353377831559683,3.9945187551859305,4.2550082914546845,4.002463459116818,4.226554496018772,3.5258513534825675,3.729777635319787,3.345853017842752,3.528887311755623,3.5545523585545453
AARSD1,5.211739230528184,5.230499928672875,5.129194228886024,5.081671328412965,5.123744880310401,4.75546481146551,4.351348774207607,4.63131370718214,4.4692894105921415,4.547255472563777
AASDH,3.5402251799849127,3.476039195239213,3.624236036239671,2.9812774074693347,3.489093198360142,2.314500579115697,3.368626146475787,2.640220323252692,3.14198828049663,3.527358350131576
AASDHPPT,6.043244121911966,6.137268681951305,6.704479829425926,6.433334400684107,6.37349199342958,5.707498547544799,5.803207427041527,6.0226822095331976,6.014023722860047,6.128863952626796
AASS,7.259476874219161,7.061308127831453,7.019353465364693,6.1758690084315955,7.007421155093795,7.064452556298177,7.228671081923164,7.287992752459746,7.254426533839614,7.063533256680778
AATF,5.073850981420346,5.14219296264664,5.169154155687574,5.0624177026967905,4.797363764906905,3.7378837962346143,3.9655604434637484,4.1572609394363855,4.208929809382951,4.039562574154611
AATK,1.8478004858198316,1.9506897722076544,1.539802385700121,1.406555039496035,1.7592331263509908,1.5641883195354216,1.3401326427462463,0.7345719634113231,1.465668442997485,1.9213614295563257
ABAT,5.5805908556763075,5.511880856591816,5.693256178356784,5.7880421029647335,6.375756908392406,6.902668666821463,6.913533607766863,6.962596987740025,6.867562662810938,6.929821553278445
ABCA1,5.24504569398931,5.079623564080796,5.038477176811184,5.118718793835003,5.108752014078315,4.953779851661652,4.758568896605369,4.976164455846159,4.924442960636547,5.001314606461567
ABCA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA13,0.0,0.0,0.0,0.0,0.24927107127414092,0.0,0.0,0.0,0.09075272953405097,0.0
ABCA14,0.0,0.0,0.6217582096818467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA16,1.9337434836473195,0.9226216821426142,1.7769600152493177,0.5691537068142327,1.193155629040531,0.9997398461191362,0.9033838362783998,1.3455672186682688,1.326375024826838,1.6564563209871468
ABCA17,0.0,0.5407944477170591,0.9925214599954042,0.21131653425600058,0.21710972675237872,0.1983081159083049,0.5448320101395573,0.21272100047561326,0.21671573637519076,0.5530967436259702
