,B,Basophil,CD4,CD8,Cholangiocyte,Eosinophil,Hepatocyte,Kupffer,LSEC,Monocyte,NK,Neutrophil,Stellate
1110028F11RIK,2.0158053458014527,12.13035239597418,0.0,2.210836618320766,5.4750092888313935,6.785817797401762,5.574646260505823,0.0,0.0,0.0,7.350440366334912,0.0,0.6566708196699236
1600017P15RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.549126200334259,1.1922002126856142,0.0,0.0,0.0,0.0
1600022D10RIK,0.0,0.0,0.0,0.0,0.0,1.5227048537810572,0.0,1.9693162660340866,0.32466708879459094,0.8678665495367948,0.0,7.0311647271997995,0.0
1700016F12RIK,0.0,0.0,0.0,0.0,0.0,8.495152209595396,0.0,0.0,1.433331893670343,0.0,0.0,0.0,0.0
1700016J18RIK,0.0,0.0,0.0,0.0,7.946116171285438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700030L20RIK,0.0,0.0,0.0,3.762883361513821,0.0,1.1581705421342607,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700049E15RIK,0.0,0.0,0.0,0.0,7.428790708349165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700063K16RIK,0.0,9.161797863726257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700092C10RIK,0.0,0.0,0.0,0.0,0.0,0.0,4.297009977912534,0.0,0.0,0.0,0.0,0.0,0.0
1700094D03RIK,6.710853778378461,1.3120378776481765,6.205385459904275,8.839490475393992,5.152361872313923,6.506501240158842,2.509665711695371,2.3752106874275425,3.4489270273685833,5.578900759063568,5.252535280887323,3.934491242779828,2.741941241008752
1810044K17RIK,0.0,0.0,0.0,0.0,0.0,0.0,5.190279306408737,0.0,0.0,0.0,0.0,0.0,0.0
1810053B23RIK,0.0,0.0,0.0,0.0,3.322393013340202,0.0,6.720262046312181,0.0,0.0,0.0,0.0,0.0,0.0
2010010A06RIK,0.0,0.0,0.0,0.0,0.0,5.467191373671872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010320O07RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8088711533892035,0.0,0.0,0.0,0.0,0.0
2210010C04RIK,0.0,8.443520961189012,0.0,0.44794244758220725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2310015A16RIK,0.0,0.0,0.0,0.0,5.103733975153957,0.0,10.802441547643678,1.7210416043860337,1.881733123108754,0.0,0.0,0.0,2.6712438041172146
2310043O21RIK,0.0,4.14941441820761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2310069B03RIK,0.0,6.458874589055608,0.0,0.0,0.0,1.6614102207629275,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2500002B13RIK,6.202457703636549,0.0,3.022958332970344,6.132278655840263,3.2249416483030022,3.5121217791879964,4.221507826598523,2.515624767746395,4.3196075618447365,8.799315475970872,4.934099920357992,2.215537155748193,3.1464239427154634
4732414G09RIK,0.0,1.3102679620434998,0.0,0.0,0.0,6.484429689961243,0.0,2.319105563669637,0.0,0.0,0.0,0.0,0.7532523707516168
4921529L05RIK,0.0,10.210479470898328,0.0,0.0,0.0,0.0,0.0,2.048849694952094,0.24287278965872472,1.8620667127844492,0.0,0.0,0.4867692540315337
4930404A12RIK,0.0,0.0,0.0,0.0,0.0,6.622970909068546,0.0,0.0,0.0,0.0,2.704341694790191,0.0,0.0
4930417O13RIK,2.3942940438072955,0.0,8.26001016077167,6.318202960670688,0.0,0.0,0.0,0.0,0.0,0.0,4.494883559173357,0.0,0.0
4930459C07RIK,0.0,0.0,0.0,0.0,0.0,0.0,1.3517289720119603,0.0,0.0,0.0,0.5368232130001032,4.734698305898203,0.0
4930471E19RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.816302104398294,0.0,0.0
4930543I11RIK,0.0,3.5343283424675542,0.0,0.0,0.0,7.353531367057801,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4931406B18RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2490375120025057,0.13455220165918913
4932438H23RIK,0.0,3.1980424416889037,1.3533410904830396,0.34711837818954155,0.0,8.549521028104047,0.0,0.0,0.0,0.0,0.0,0.9335040599854343,0.6082642955355588
4933401L05RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.979953681986235,0.0,0.0,0.0,0.0,0.9545432478280468
4933440M02RIK,0.0,0.0,0.0,3.615957181263179,0.0,0.0,0.0,0.0,0.0,1.0478981954300177,0.0,0.0,0.0
5330411J11RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09880322215526,0.28942490076914673,0.0,0.0,0.0,1.4780829405442024
5330417C22RIK,1.0891055290062226,3.8195848663218586,0.32950159276858065,0.5962919836379369,11.438133958982599,4.494505827948599,1.7741007493786187,1.5698369095375453,4.171948526999758,0.0,0.9209164212041152,0.0,1.596401532814773
5430425K12RIK,2.505496671603542,0.0,0.0,0.8695840528064998,0.0,0.0,0.0,2.0727390120634492,0.0,4.063374822499407,1.4422247290563106,10.054628813167412,0.34183331609366613
5830411N06RIK,0.0,0.0,0.0,8.093656202993602,0.0,0.0,0.0,0.0,0.4026122950880887,0.0,1.7682318132585342,0.0,0.6639162994192582
5830415G21RIK,0.0,0.0,0.0,0.0,0.0,7.110155767635608,0.0,0.0,0.0,0.0,1.1544996498648241,1.4972427818164802,0.0
6030498E09RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.806751155055136,5.900724561312211,0.0,0.0,0.0,1.1413705116848485
9030625G05RIK,0.0,1.199229430600234,0.0,0.0,9.236082847731257,0.0,0.0,0.0,1.306586429906551,0.0,0.0,0.0,0.4272715388068673
9430069I07RIK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.502707688495036,0.0,4.906324359153672,0.0,0.0,0.0
A030005L19RIK,4.671000110952507,0.0,6.359239670222554,4.5439989350541765,2.118882165593184,1.8287231294508743,0.0,0.0,2.1127091424860125,2.015769623196345,1.9784436776335321,0.0,2.017893995456381
A030014E15RIK,0.0,0.0,2.791530691000611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A230001M10RIK,0.0,0.0,0.0,0.0,11.632041772962346,0.0,0.7841640097953851,0.0,3.569288552172372,0.0,0.0,0.0,2.5356990488861775
A2ML1,0.0,0.0,0.0,0.0,5.19299929715877,0.0,9.960562175843709,3.147646661627839,1.7885729067885956,0.0,1.545067355331008,0.0,2.914347223803121
A530021J07RIK,0.0,0.0,8.300833289123508,5.440739037085071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A530030E21RIK,11.173231890426841,0.0,2.769483355999001,3.6280996517529296,0.0,0.0,0.0,0.0,0.6242241197155155,0.0,2.625045808860674,0.0,1.3891226974980704
A630014C17RIK,0.0,0.0,6.908528794024529,5.137018467973631,0.0,0.0,0.0,0.0,1.367702459210679,0.0,5.0949267712016235,0.0,2.5556003299773797
A630023P12RIK,6.566498773692755,0.0,11.43741697201311,9.772979405841294,0.0,0.0,0.0,1.1946005453562762,0.0,0.0,0.0,0.0,2.3055831019857673
A630095N17RIK,0.0,0.0,0.0,2.6431496525331672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL2FM2,0.0,0.0,4.699582295890838,3.037306526401923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AARD,0.0,0.0,0.0,0.0,2.125223753421655,0.0,2.00763831319411,2.9161659343778163,3.134588537230038,0.0,0.0,0.0,9.972146615950077
ACOT3,0.0,0.0,0.0,0.0,5.553039393470956,0.0,9.220720335941373,4.8613482726178265,0.7127878850561324,0.0,0.0,0.0,0.4636028874771875
ACTN2,0.0,0.0,6.86047140693529,9.725710408739387,0.0,0.0,0.0,0.0,0.15714434031171076,0.0,2.4754039770870944,0.0,1.7597703380130276
ACTN3,1.9920479164980607,8.317403877027386,0.526180793403187,0.9636161486757132,0.0,1.4521054954148807,0.0,0.45234604732954287,1.1726810301623702,0.0,2.0221608319871396,0.0,1.186277875985392
ADAD1,0.0,0.0,2.5266316587398903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.438272508113748,0.0,0.0
ADAMDEC1,0.0,0.0,0.0,2.0563658565055585,1.817710101664935,0.0,1.868331522305696,10.181043729548204,2.960683000143721,0.0,0.0,2.5840472156057435,4.981935599557547
ADAMTS13,2.824196028196291,0.0,0.0,0.13905410151505782,2.6185369915745316,0.0,1.3557139982403617,0.9784114610622856,2.84037985692916,0.0,0.3353036813696184,0.0,10.435290489105212
ADAMTS14,4.642950171519457,0.0,1.6479839293308252,5.364264650613469,2.5295836220383645,0.0,0.8944522067444214,0.0,3.9350467603471593,0.0,12.776145025287848,0.0,7.526374140591928
ADAMTS16,0.0,0.0,0.0,0.0,7.968141580587187,0.0,0.11603999864771326,0.0,0.7394385021794452,0.0,0.0,0.0,0.14675450770986578
ADAMTSL1,0.0,10.140370604959497,0.0,0.0,4.572523366209444,5.868189778747706,3.094461225353971,0.3521316902349867,1.0619140851239832,0.0,1.9244775014841968,0.0,3.5137721591199504
ADAMTSL5,2.6089339119662514,0.0,0.0,0.5853649838001915,2.920808561316586,2.287861281690219,1.989965918599228,1.3781773180442878,2.4384582565339503,0.0,0.0,0.0,7.582752290465578
ADGRF5,0.0,0.0,0.0,0.0,4.286717544163675,0.0,5.136232200766524,4.7059280740075184,13.109286420165699,0.0,0.0,0.0,7.93546831027686
ADH6B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.358392857016573,4.7323861938366205,0.0,0.8015165079684766,0.0,0.47138475992376266
ADM2,4.318387517204573,0.0,0.0,0.0,0.0,8.418754239601544,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADORA3,1.1718452638152765,8.434422437536053,0.0,1.1596155558531724,0.0,11.96908411772652,0.0,2.20130954581276,0.4372687068344986,5.352362583885565,2.386760244251534,2.985944518107192,1.1567427300527524
ADRA2A,1.5411580385592494,0.0,0.4963593701242564,1.0279733792263144,0.5257710608944305,8.98775199576477,0.0,0.0,0.9944452219238686,0.0,0.0,0.0,0.2684083852762723
ADRA2B,0.3295693561497601,0.0,0.4183559748874112,0.0,2.2676376179782984,0.0,2.5909863599314393,3.628877220055146,1.990342217799005,0.2328198199417841,1.1569931766019752,0.0,9.562406825218758
ADRA2C,0.0,0.0,0.0,0.0,1.0776347722989281,0.0,0.0,6.008728180368701,0.0,0.0,0.0,0.0,0.0
AFAP1L2,0.7984859866768107,0.0,0.0,0.0,3.411475962279766,0.0,1.0701747304155043,1.9875780740707132,3.9410003695728317,0.0,0.35833690550071073,0.0,8.510187884839018
AI839979,1.6575057909037065,5.599053891923496,3.6205161737525575,3.4350708379645294,1.8562669786001642,4.666086162391457,0.0,0.0,4.015155695699196,10.854971936902135,3.9053192377340284,8.578502105211971,2.438873490708682
AICDA,12.44645818386204,0.0,0.0,1.510685505782506,0.0,2.1403080802440444,0.0,0.0,0.0,0.0,0.0,2.6386892075625608,0.1863814395282134
AIF1,5.238573611195692,3.6730136809737304,3.395330834361053,5.626649080675936,6.578732388280218,4.265876283637376,5.4459639352681215,15.091381987816803,6.699563331287477,9.389245458921819,5.132278002758227,5.632765783821196,8.241695771636929
