,liver-ctrl_1,liver-ctrl_2,liver-ctrl_3,liver-ctrl_4,liver-ctrl_5,liver-mda_1,liver-mda_2,liver-mda_3,liver-mda_4,liver-mda_5
A1BG,4.1526531717927355,2.5527712880661744,2.335975823230126,2.40915941725396,2.0651917508237543,0.35763843805783513,2.2638190499102606,0.36757401977401766,1.5593060754006671,0.8400785989449283
A1CF,5.583597430908259,5.986839331453874,5.881554788467367,6.073278744411791,6.248793959615845,6.08814591463421,6.099909374740321,6.421812303769456,5.515169768461559,6.1542535875501825
A2M,2.2698258117458296,2.7747991356707566,3.488147731598447,3.303569525648705,3.6644231415684803,5.122562181458021,4.664336604430255,4.97485767605384,5.084922656069814,5.327342528248495
A2ML1,1.1923574073076562,1.5925590303954942,1.2456465419874239,1.8917023001837248,2.160532562066344,2.1591033702913536,2.1758150449043714,1.781382001528816,1.520358697114398,2.7455005495740052
A3GALT2,2.024093790296783,1.229662469144703,1.9857644348294081,2.0040346379660385,1.4656663811761166,2.305555107416771,1.8317459650230743,2.8502831666062978,2.917953557535958,3.1392784304305286
A4GALT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAAS,4.098194619269231,4.017035064829364,4.232784661290718,4.137259032212378,4.297553219923053,4.41903821124762,4.493439061697722,4.54744464959412,4.594960730300106,4.717627205764849
AACS,3.8838322965394236,3.3655726307518385,3.351041243694135,3.50932194919492,3.7267081213449376,4.9557142609714315,5.308748555975974,5.807381850537672,5.6339134561106095,6.065408807866074
AADAC,5.6605126462403605,5.885638742233198,6.045917116383555,6.39787090972463,6.197679704071072,5.666780059837922,6.071561366082807,6.210043995913643,4.6853965194019125,5.794595574552668
AADACL3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AADAT,5.3216151214026866,6.165660270373439,5.925324855406097,6.316727467384843,6.091258205818741,6.172024307426584,5.930398333071407,6.050757884272539,5.222275457575147,6.211461846609438
AAGAB,4.287360089614035,4.348076174275325,4.287843450738083,4.023382870585255,4.573296121586733,5.061261592632089,5.18856016271564,5.246398440534133,4.741453789779715,5.244046168613762
AAK1,2.3335343568068025,2.2226391474107694,2.1528041859758673,2.0079563605630426,2.555274151662433,2.5771088696428754,2.552311694822446,2.874742846050094,2.2440954238409927,2.7992322967329653
AAMDC,4.780438862826873,4.830283549438404,4.32761381089373,4.890737951885839,4.757536763860616,4.730030933937571,4.838317377997342,4.702430106025906,4.150439374597723,4.537145586199354
AAMP,0.0,1.1903421949784703,0.0,1.832812887936407,2.673077923248424,2.0870272465628235,2.5033140365901962,2.8070267029185203,1.2829051869187165,0.8666141211555896
AANAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AAR2,3.5893184275291654,3.5162062276309856,3.6942342887934108,3.6803038253269325,3.792591229554275,3.96666327881315,4.16513427563383,4.1625447812434055,3.803294013611859,4.066647383345919
AARD,0.0,0.0,0.0,0.0,1.5816017087050027,0.0,0.0,0.0,0.0,0.0
AARS,6.597435815376389,6.319447409359492,6.486319203620396,6.375869881665547,6.513532729913438,6.245373574320544,6.407703206864131,6.586918413180741,6.65623291780437,6.601887321458109
AARS2,3.5258513534825675,3.729777635319787,3.345853017842752,3.528887311755623,3.5545523585545453,4.096077834913712,3.994791906574825,4.375174113854341,3.7455107202800075,4.108280515637388
AARSD1,4.75546481146551,4.351348774207607,4.63131370718214,4.4692894105921415,4.547255472563777,4.489736592625454,4.66505010502725,4.904320962374033,4.726111162684646,4.712427821625927
AASDH,2.314500579115697,3.368626146475787,2.640220323252692,3.14198828049663,3.527358350131576,3.3809301231244717,3.732992533211572,3.4589292995582017,3.3360163561732654,3.15970118013441
AASDHPPT,5.707498547544799,5.803207427041527,6.0226822095331976,6.014023722860047,6.128863952626796,6.054097665740733,6.23651008619039,6.340458363378474,5.569640356084055,6.4222069629352685
AASS,7.064452556298177,7.228671081923164,7.287992752459746,7.254426533839614,7.063533256680778,7.304577204927751,7.092041158019898,7.460353382156679,6.768577642012852,7.067092547336358
AATF,3.7378837962346143,3.9655604434637484,4.1572609394363855,4.208929809382951,4.039562574154611,4.631717500076298,4.681966045917333,4.747431401681515,4.487971882553108,4.721869985692625
AATK,1.5641883195354216,1.3401326427462463,0.7345719634113231,1.465668442997485,1.9213614295563257,1.7058236371962412,1.5283842529863658,2.052281507493052,1.77643566693979,2.047550217852602
ABAT,6.902668666821463,6.913533607766863,6.962596987740025,6.867562662810938,6.929821553278445,6.562279449490705,6.559302496439723,6.629358563803263,6.338766494761955,6.737847037716493
ABCA1,4.953779851661652,4.758568896605369,4.976164455846159,4.924442960636547,5.001314606461567,4.923713372969702,4.986528842085698,5.201486091634906,4.848575170523916,5.031813742042005
ABCA12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA13,0.0,0.0,0.0,0.09075272953405097,0.0,0.0,0.0,0.0,0.0,0.0
ABCA14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCA16,0.9997398461191362,0.9033838362783998,1.3455672186682688,1.326375024826838,1.6564563209871468,1.261497563739609,1.1669640711166587,0.7004580890127352,1.099059133668344,1.5992877089253614
